,0,1,2,3
0,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00, A01, D01, D10",NV1: 13.50
1,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00, A01, D01, D10",NV1: 13.50
2,Mã ngành: 7340120,Tên ngành: Kinh doanh Quốc tế,"Tổ hợp môn: A00, A01, D01, D10",NV1: 14.00
3,Mã ngành: 7340120,Tên ngành: Kinh doanh Quốc tế,"Tổ hợp môn: A00, A01, D01, D10",NV1: 14.00
4,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00, A01, D01",NV1: 13.00
5,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn: D96,NV1: 13.00
6,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00, A01, D01",NV1: 13.00
7,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn: D96,NV1: 13.00
8,Mã ngành: 7620110,Tên ngành: Khoa học cây trồng,"Tổ hợp môn: A00, B00, C02",NV1: 13.00
9,Mã ngành: 7850101,Tên ngành: Quản lý Tài nguyên và Môi trường,"Tổ hợp môn: B00, D15, D84, D90",NV1: 13.00
10,Mã ngành: 7850101,Tên ngành: Quản lý Tài nguyên và Môi trường,"Tổ hợp môn: B00, D15, D84, D90",NV1: 13.00
