,0,1,2,3
0,Mã ngành: 108,Tên ngành: SP Toán,Tổ hợp môn:,NV1: 14.50
1,Mã ngành: 109,Tên ngành: SP Vật lý,Tổ hợp môn:,NV1: 13.50
2,Mã ngành: 110,Tên ngành: SP Tin,Tổ hợp môn:,NV1: 13.00
3,Mã ngành: 201,Tên ngành: SP hóa,Tổ hợp môn:,NV1: 15.00
4,Mã ngành: 301,Tên ngành: SP Sinh,Tổ hợp môn:,NV1: 15.00
5,Mã ngành: 501,Tên ngành: SP Giáo dục chính trị,Tổ hợp môn:,NV1: 14.00
6,Mã ngành: 601,Tên ngành: SP Ngữ văn,Tổ hợp môn:,NV1: 18.00
7,Mã ngành: 602,Tên ngành: SP Lịch sử,Tổ hợp môn:,NV1: 19.00
8,Mã ngành: 603,Tên ngành: SP Địa lý,Tổ hợp môn:,NV1: 20.00
9,Mã ngành: 604,Tên ngành: SP Tâm lý giáo dục,Tổ hợp môn:,NV1: 14.00
10,Mã ngành: 800,Tên ngành: SP Toán - Tin,Tổ hợp môn:,NV1: 13.00
11,Mã ngành: 801,Tên ngành: SP Toán - Lý,Tổ hợp môn:,NV1: 14.50
12,Mã ngành: 802,Tên ngành: Sp Sinh - Hóa,Tổ hợp môn:,NV1: 14.50
13,Mã ngành: 803,Tên ngành: Sp Văn - Địa,Tổ hợp môn:,NV1: 15.00
14,Mã ngành: 804,Tên ngành: SP Văn - Sử,Tổ hợp môn:,NV1: 18.00
15,Mã ngành: 901,Tên ngành: SP Giáo dục tiểu học,Tổ hợp môn:,NV1: 14.50
16,Mã ngành: 902,Tên ngành: SP Thể dục thể thao,Tổ hợp môn:,NV1: 19.50
17,Mã ngành: 903,Tên ngành: SP Giáo dục mầm non,Tổ hợp môn:,NV1: 15.50
18,Mã ngành: 904,Tên ngành: SP GD thể chất - GD Quốc phòng,Tổ hợp môn:,NV1: 15.00
19,Mã ngành: 905,Tên ngành: SP GD công nghệ,Tổ hợp môn:,NV1: 13.00
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
