,0,1,2,3
0,Mã ngành: 101,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 14.00
1,Mã ngành: 102,Tên ngành: Toán Tin ứng dụng,Tổ hợp môn:,NV1: 13.00
2,Mã ngành: 103,"Tên ngành: Điện Điện tử (chuyên ngành: hệ thống điện, Điện tử viễn thông, Tự động điều khiển)",Tổ hợp môn:,NV1: 13.00
3,Mã ngành: 104,Tên ngành: Bảo hộ lao động.,Tổ hợp môn:,NV1: 14.00
4,Mã ngành: 104,Tên ngành: Bảo hộ lao động,Tổ hợp môn:,NV1: 13.00
5,Mã ngành: 105,Tên ngành: Xây dựng dân dụng và công nghiệp,Tổ hợp môn:,NV1: 15.00
6,Mã ngành: 106,Tên ngành: Xây dựng cầu đường,Tổ hợp môn:,NV1: 13.00
7,Mã ngành: 107,Tên ngành: Cấp thoát nước Môi trường nước.,Tổ hợp môn:,NV1: 14.00
8,Mã ngành: 107,Tên ngành: Cấp thoát nước Môi trường nước,Tổ hợp môn:,NV1: 13.00
9,Mã ngành: 108,Tên ngành: Qui hoạch đô thị,Tổ hợp môn:,NV1: 13.00
10,Mã ngành: 201,Tên ngành: Công nghệ hóa học.,Tổ hợp môn:,NV1: 17.00
11,Mã ngành: 201,Tên ngành: Công nghệ hóa học,Tổ hợp môn:,NV1: 15.00
12,Mã ngành: 300,Tên ngành: Khoa học môi trường,Tổ hợp môn:,NV1: 15.00
13,Mã ngành: 301,Tên ngành: Công nghệ sinh học,Tổ hợp môn:,NV1: 15.00
14,Mã ngành: 401,Tên ngành: Tài chính Tín dụng,Tổ hợp môn:,NV1: 16.00
15,Mã ngành: 402,Tên ngành: Kế toán Kiểm toán,Tổ hợp môn:,NV1: 16.00
16,Mã ngành: 403,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 16.00
17,Mã ngành: 404,Tên ngành: Quản trị kinh doanh quốc tế,Tổ hợp môn:,NV1: 16.00
18,Mã ngành: 405,Tên ngành: QTKD chuyên ngành Nhà hàng khách sạn,Tổ hợp môn:,NV1: 16.00
19,Mã ngành: 406,Tên ngành: Quan hệ lao động,Tổ hợp môn:,NV1: 13.00
20,Mã ngành: 501,Tên ngành: Xã hội học.,Tổ hợp môn:,NV1: 14.00
21,Mã ngành: 501,Tên ngành: Xã hội học,Tổ hợp môn:,NV1: 13.00
22,Mã ngành: 502,Tên ngành: Việt Nam học (chuyên ngành Du Lịch).,Tổ hợp môn:,NV1: 14.00
23,Mã ngành: 502,Tên ngành: Việt Nam học (chuyên ngành Du Lịch),Tổ hợp môn:,NV1: 13.00
24,Mã ngành: 701,Tên ngành: Tiếng Anh,Tổ hợp môn:,NV1: 14.00
25,Mã ngành: 704,Tên ngành: Tiếng Trung Quốc,Tổ hợp môn:,NV1: 13.00
26,Mã ngành: 707,Tên ngành: Trung – Anh,Tổ hợp môn:,NV1: 13.00
27,Mã ngành: 800,Tên ngành: Mỹ thuật công nghiệp,Tổ hợp môn:,NV1: 18.00
28,Mã ngành: C65,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 10.00
29,Mã ngành: C66,Tên ngành: Điện Điện tử,Tổ hợp môn:,NV1: 10.00
30,Mã ngành: C67,Tên ngành: Xây dựng dân dụng và công nghiệp,Tổ hợp môn:,NV1: 10.00
31,Mã ngành: C69,Tên ngành: Kế toán Kiểm toán,Tổ hợp môn:,NV1: 10.00
32,Mã ngành: C70,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 10.00
33,Mã ngành: C71,Tên ngành: Tài chính tín dụng,Tổ hợp môn:,NV1: 10.00
34,Mã ngành: C72,Tên ngành: Tiếng Anh,Tổ hợp môn:,NV1: 10.00
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
