,0,1,2,3
0,Mã ngành: 7720101,Tên ngành: Y đa khoa,Tổ hợp môn: B00,NV1: 22.25
1,Mã ngành: 7720101,Tên ngành: Y đa khoa,Tổ hợp môn: B00,NV1: 22.25
2,Mã ngành: 7720101,Tên ngành: Y đa khoa,Tổ hợp môn: B00,NV1: 22.25
3,Mã ngành: 7720110,Tên ngành: Y học dự phòng,Tổ hợp môn: B00,NV1: 16.75
4,Mã ngành: 7720110,Tên ngành: Y học dự phòng,Tổ hợp môn: B00,NV1: 16.75
5,Mã ngành: 7720110,Tên ngành: Y học dự phòng,Tổ hợp môn: B00,NV1: 16.75
6,Mã ngành: 7720201,Tên ngành: Dược học,Tổ hợp môn: A00,NV1: 19.50
7,Mã ngành: 7720201,Tên ngành: Dược học,Tổ hợp môn: A00,NV1: 19.50
8,Mã ngành: 7720201,Tên ngành: Dược học,Tổ hợp môn: A00,NV1: 19.50
9,Mã ngành: 7720301,Tên ngành: Điều dưỡng,Tổ hợp môn: B00,NV1: 18.50
10,Mã ngành: 7720301,Tên ngành: Điều dưỡng,Tổ hợp môn: B00,NV1: 18.50
11,Mã ngành: 7720301,Tên ngành: Điều dưỡng,Tổ hợp môn: B00,NV1: 18.50
12,Mã ngành: 7720501,Tên ngành: Điều dưỡng,Tổ hợp môn: B00,NV1: 21.90
13,Mã ngành: 7720501,Tên ngành: Điều dưỡng,Tổ hợp môn: B00,NV1: 21.90
14,Mã ngành: 7720501,Tên ngành: Điều dưỡng,Tổ hợp môn: B00,NV1: 21.90
15,Mã ngành: 7720601,Tên ngành: Răng hàm mặt,Tổ hợp môn: B00,NV1: 19.75
16,Mã ngành: 7720601,Tên ngành: Răng hàm mặt,Tổ hợp môn: B00,NV1: 19.75
17,Mã ngành: 7720601,Tên ngành: Răng hàm mặt,Tổ hợp môn: B00,NV1: 19.75
18,,,,
19,,,,
20,,,,
