,0,1,2,3
0,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,"Tổ hợp môn: D01, D14, D15, D66",NV1: 13.50
1,Mã ngành: 7229010,Tên ngành: Lịch sử,"Tổ hợp môn: C00, C14, D01, D84",NV1: 13.50
2,Mã ngành: 7229030,Tên ngành: Văn học,"Tổ hợp môn: C00, C14, D01, D84",NV1: 13.50
3,Mã ngành: 7320101,Tên ngành: Báo chí,"Tổ hợp môn: C00, C14, D01, D84",NV1: 13.50
4,Mã ngành: 7320201,Tên ngành: Thông tin - Thư viện,"Tổ hợp môn: C00, C14, D01, D84",NV1: 13.50
5,Mã ngành: 7340401,Tên ngành: Khoa học quản lý,"Tổ hợp môn: C00, C14, D01, D84",NV1: 13.50
6,Mã ngành: 7380101,Tên ngành: Luật,"Tổ hợp môn: C00, C14, D01, D84",NV1: 14.00
7,Mã ngành: 7420201,Tên ngành: Công nghệ sinh học,"Tổ hợp môn: B00, D04, C18, D08",NV1: 15.00
8,Mã ngành: 7440217,Tên ngành: Địa lý tự nhiên,"Tổ hợp môn: C00, C04, C20, D01",NV1: 13.50
9,Mã ngành: 7440301,Tên ngành: Khoa học môi trường,"Tổ hợp môn: A00, B00, C14, D01",NV1: 13.50
10,Mã ngành: 7460112,Tên ngành: Toán ứng dụng,"Tổ hợp môn: A00, C14, D01, D84",NV1: 18.10
11,Mã ngành: 7510401,Tên ngành: Công nghệ kỹ thuật hóa học,"Tổ hợp môn: A11, B00, C17, D01",NV1: 13.50
12,Mã ngành: 7720203,Tên ngành: Hóa dược,"Tổ hợp môn: A11, B00, C17, D01",NV1: 13.50
13,Mã ngành: 7760101,Tên ngành: Công tác xã hội,"Tổ hợp môn: C00, C14, D01, D84",NV1: 13.50
14,Mã ngành: 7810101,Tên ngành: Du lịch,"Tổ hợp môn: C00, C04, C14, D01",NV1: 14.00
15,Mã ngành: 7810103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,"Tổ hợp môn: C00, C02, C14, D01",NV1: 13.50
16,Mã ngành: 7850101,Tên ngành: Quản lý tài nguyên và môi trường,"Tổ hợp môn: A00, B00, C14, D01",NV1: 13.50
17,,,,
18,,,,
