,0,1,2,3
0,Mã ngành: 7140201,Tên ngành: Giáo dục Mầm non,"Tổ hợp môn: M00,M01",NV1: 15.00
1,Mã ngành: 7140221,Tên ngành: Sư phạm Âm nhạc,Tổ hợp môn: N00,NV1: 15.00
2,Mã ngành: 7140222,Tên ngành: Sư phạm Mỹ thuật,Tổ hợp môn: H00,NV1: 15.00
3,Mã ngành: 7210103,Tên ngành: Hội họa,Tổ hợp môn: H00,NV1: 15.00
4,Mã ngành: 7210104,Tên ngành: Đồ họa,Tổ hợp môn: H00,NV1: 15.00
5,Mã ngành: 7210205,Tên ngành: Thanh nhạc,Tổ hợp môn: N00,NV1: 15.00
6,Mã ngành: 7210404,Tên ngành: Thiết kế thời trang,Tổ hợp môn: H00,NV1: 15.00
7,Mã ngành: 7220113,Tên ngành: Việt Nam học,"Tổ hợp môn: A16,C15,D01,D14",NV1: 15.00
8,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,"Tổ hợp môn: D01,C15,D72,D96",NV1: 15.00
9,Mã ngành: 7220342,Tên ngành: Quản lý văn hóa,"Tổ hợp môn: A16,C15,D01,D14",NV1: 15.00
10,Mã ngành: 7220343,Tên ngành: Quản lý thể dục thể thao*,Tổ hợp môn: T00,NV1: 15.00
11,Mã ngành: 7310205,Tên ngành: Quản lý nhà nước,"Tổ hợp môn: A16,C15,D01,D14",NV1: 15.00
12,Mã ngành: 7320201,Tên ngành: Thông tin học,"Tổ hợp môn: A16,C15,D01,D14",NV1: 15.00
13,Mã ngành: 7340103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,"Tổ hợp môn: A16,C15,D01,D14",NV1: 15.00
14,Mã ngành: 7340107,Tên ngành: Quản trị khách sạn,"Tổ hợp môn: A16,C15,D01,D14",NV1: 15.00
15,Mã ngành: 7760101,Tên ngành: Công tác xã hội,"Tổ hợp môn: A16,C15,D01,D14",NV1: 15.00
16,,,,
