,0,1,2,3
0,Mã ngành: 7210402,Tên ngành: Thiểt kế công nghiệp,Tổ hợp môn:,NV1: 22.00
1,Mã ngành: 7210403,Tên ngành: Thiêt kê đồ họa,Tổ hợp môn:,NV1: 23.00
2,Mã ngành: 7210404,Tên ngành: Thiết kế thời trang,Tổ hợp môn:,NV1: 23.00
3,Mã ngành: 7210405,Tên ngành: Thiết kế nội thất,Tổ hợp môn:,NV1: 25.00
4,Mã ngành: 7210405,Tên ngành: Thiết kế nội thất,Tổ hợp môn:,NV1: 23.00
5,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 20.00
6,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 15.00
7,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 14.50
8,Mã ngành: 7340103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,Tổ hợp môn:,NV1: 14.50
9,Mã ngành: 7340103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,Tổ hợp môn:,NV1: 15.00
10,Mã ngành: 7340103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,Tổ hợp môn:,NV1: 16.00
11,Mã ngành: 7340107,Tên ngành: Quản trị khách sạn,Tổ hợp môn:,NV1: 15.50
12,Mã ngành: 7340107,Tên ngành: Quản trị khách sạn,Tổ hợp môn:,NV1: 14.50
13,Mã ngành: 7340107,Tên ngành: Quản trị khách sạn,Tổ hợp môn:,NV1: 16.00
14,Mã ngành: 7340121,Tên ngành: Kinh doanh thương mại,Tổ hợp môn:,NV1: 14.00
15,Mã ngành: 7340121,Tên ngành: Kinh doanh thương mại,Tổ hợp môn:,NV1: 15.00
16,Mã ngành: 7340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 14.50
17,Mã ngành: 7340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 14.00
18,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 14.50
19,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 14.00
20,Mã ngành: 7360708,Tên ngành: Quan hệ công chúng,Tổ hợp môn:,NV1: 17.00
21,Mã ngành: 7360708,Tên ngành: Quan hệ công chúng,Tổ hợp môn:,NV1: 14.00
22,Mã ngành: 7360708,Tên ngành: Quan hệ công chúng,Tổ hợp môn:,NV1: 16.50
23,Mã ngành: 7360708,Tên ngành: Quan hệ công chúng,Tổ hợp môn:,NV1: 15.00
24,Mã ngành: 7420201,Tên ngành: Công nghệ sinh học,Tổ hợp môn:,NV1: 14.00
25,Mã ngành: 7420201,Tên ngành: Công nghệ sinh học,Tổ hợp môn:,NV1: 13.00
26,Mã ngành: 7480103,Tên ngành: Kĩ thuật phần mềm,Tổ hợp môn:,NV1: 14.00
27,Mã ngành: 7510406,Tên ngành: Công nghệ kĩ thuật môi trường,Tổ hợp môn:,NV1: 14.00
28,Mã ngành: 7510406,Tên ngành: Công nghệ kĩ thuật môi trường,Tổ hợp môn:,NV1: 15.00
29,Mã ngành: 7520115,Tên ngành: Kĩ thuật nhiệt,Tổ hợp môn:,NV1: 13.00
30,Mã ngành: 7580102,Tên ngành: Kiến trúc,Tổ hợp môn:,NV1: 23.00
31,Mã ngành: 7580201,Tên ngành: Kĩ thuật công trình xây dựng,Tổ hợp môn:,NV1: 14.00
32,,,,
33,,,,
