,0,1,2,3
0,Mã ngành: 7140201,Tên ngành: Giáo dục mầm non,Tổ hợp môn:,NV1: 22.50
1,Mã ngành: 7140201,Tên ngành: Giáo dục mầm non,Tổ hợp môn:,NV1: 22.50
2,Mã ngành: 7140201,Tên ngành: Giáo dục mầm non,Tổ hợp môn:,NV1: 16.50
3,Mã ngành: 7140217,Tên ngành: Sư phạm Ngữ văn,Tổ hợp môn:,NV1: 16.00
4,Mã ngành: 7140217,Tên ngành: Sư phạm Ngữ văn,Tổ hợp môn:,NV1: 15.00
5,Mã ngành: 7210210,"Tên ngành: Biểu diễn nhạc cụ truyền thống (Biểu diễn nhạc cụ truyền thống Khmer Nam Bộ, Nghệ thuật sân khấu cải lương)",Tổ hợp môn:,NV1: 15.00
6,Mã ngành: 7220106,Tên ngành: Ngôn ngữ Khmer,Tổ hợp môn:,NV1: 16.00
7,Mã ngành: 7220106,Tên ngành: Ngôn ngữ Khmer,Tổ hợp môn:,NV1: 15.00
8,Mã ngành: 7220112,Tên ngành: Văn hóa các dân tộc thiểu số Việt Nam,Tổ hợp môn:,NV1: 15.00
9,Mã ngành: 7220112,Tên ngành: Văn hóa các dân tộc thiểu số Việt Nam,Tổ hợp môn:,NV1: 16.00
10,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 16.00
11,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 15.00
12,Mã ngành: 7310101,Tên ngành: Kinh tế,Tổ hợp môn:,NV1: 16.00
13,Mã ngành: 7310101,Tên ngành: Kinh tế,Tổ hợp môn:,NV1: 15.00
14,Mã ngành: 7310101,Tên ngành: Kinh tế,Tổ hợp môn:,NV1: 15.00
15,Mã ngành: 7310101,Tên ngành: Kinh tế,Tổ hợp môn:,NV1: 15.00
16,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 16.00
17,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 15.00
18,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 15.00
19,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 15.00
20,Mã ngành: 7340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 16.00
21,Mã ngành: 7340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 15.00
22,Mã ngành: 7340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 15.00
23,Mã ngành: 7340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 15.00
24,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 16.00
25,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 15.00
26,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 15.00
27,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 15.00
28,Mã ngành: 7340406,Tên ngành: Quản trị văn phòng,Tổ hợp môn:,NV1: 19.75
29,Mã ngành: 7340406,Tên ngành: Quản trị văn phòng,Tổ hợp môn:,NV1: 15.00
30,Mã ngành: 7340406,Tên ngành: Quản trị văn phòng,Tổ hợp môn:,NV1: 19.75
31,Mã ngành: 7340406,Tên ngành: Quản trị văn phòng,Tổ hợp môn:,NV1: 19.75
32,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn:,NV1: 17.50
33,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn:,NV1: 17.50
34,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn:,NV1: 17.50
35,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn:,NV1: 17.50
36,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 15.00
37,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 15.00
38,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 16.00
39,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 16.00
40,Mã ngành: 7510102,Tên ngành: Công nghệ Kỹ thuật Công trình Xây dựng,Tổ hợp môn:,NV1: 16.00
41,Mã ngành: 7510102,Tên ngành: Công nghệ Kỹ thuật Công trình Xây dựng,Tổ hợp môn:,NV1: 15.00
42,Mã ngành: 7510102,Tên ngành: Công nghệ Kỹ thuật Công trình Xây dựng,Tổ hợp môn:,NV1: 15.00
