,0,1,2,3
0,Mã ngành: 101,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 13.00
1,Mã ngành: 102,Tên ngành: Kĩ thuật nhiệt lạnh,Tổ hợp môn:,NV1: 13.00
2,Mã ngành: 103,Tên ngành: Xây dựng dân dụng và công nghiệp,Tổ hợp môn:,NV1: 13.00
3,Mã ngành: 104,Tên ngành: Kiến trúc,Tổ hợp môn:,NV1: 21.00
4,Mã ngành: 301,Tên ngành: Công nghệ và quản lí môi trường,Tổ hợp môn:,NV1: 14.00
5,Mã ngành: 301,Tên ngành: Công nghệ và quản lí môi trường,Tổ hợp môn:,NV1: 13.00
6,Mã ngành: 302,Tên ngành: Công nghệ sinh học,Tổ hợp môn:,NV1: 14.00
7,Mã ngành: 302,Tên ngành: Công nghệ sinh học,Tổ hợp môn:,NV1: 13.00
8,Mã ngành: 401,Tên ngành: Tài chính Tín dụng,Tổ hợp môn:,NV1: 14.00
9,Mã ngành: 402,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 13.00
10,Mã ngành: 403,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 13.00
11,Mã ngành: 404,Tên ngành: Thương mại,Tổ hợp môn:,NV1: 13.00
12,Mã ngành: 405,"Tên ngành: Du lịch (gồm 2 chuyên ngành: Quản trị Nhà hành Khách sạn, Quản trị lữ hành)",Tổ hợp môn:,NV1: 13.00
13,Mã ngành: 601,Tên ngành: Quan hệ công chúng,Tổ hợp môn:,NV1: 14.00
14,Mã ngành: 601,Tên ngành: Quan hệ công chúng,Tổ hợp môn:,NV1: 13.00
15,Mã ngành: 701,Tên ngành: Tiếng Anh,Tổ hợp môn:,NV1: 17.00
16,Mã ngành: 800,"Tên ngành: Mĩ thuật công nghiệp ( các chuyên ngành: Thiết kế thời trang, Thiết kế đồ hoạ, Tạo dáng công nghiệp, Trang trí nội thất)",Tổ hợp môn:,NV1: 21.00
17,Mã ngành: 800,"Tên ngành: Mĩ thuật công nghiệp ( các chuyên ngành: Thiết kế thời trang, Thiết kế đồ hoạ, Tạo dáng công nghiệp, Trang trí nội thất)",Tổ hợp môn:,NV1: 22.00
18,,,,
19,,,,
20,,,,
