,0,1,2,3
0,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00, A01, B00, D01",NV1: 13.10
1,Mã ngành: 7420201,Tên ngành: Công nghệ sinh học,"Tổ hợp môn: A00, A01, B00, D01",NV1: 13.10
2,Mã ngành: 7440301,Tên ngành: Khoa học môi trường,"Tổ hợp môn: A00, A01, B00, D01",NV1: 14.00
3,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,"Tổ hợp môn: A00, A01. D01",NV1: 13.10
4,Mã ngành: 7580101,Tên ngành: Kiến trúc,"Tổ hợp môn: H00, H01, V00, V01",NV1: 13.10
5,Mã ngành: 7580108,Tên ngành: Thiết kế nội thất,"Tổ hợp môn: H00, H01, V00, V01",NV1: 14.00
6,Mã ngành: 7720201,Tên ngành: Dược học,"Tổ hợp môn: A00, B00, C08, D07",NV1: 19.10
7,Mã ngành: 7720201,Tên ngành: Ngôn ngữ Anh,"Tổ hợp môn: A01, D01, D14, D15",NV1: 13.10
8,Mã ngành: 7720301,Tên ngành: Điều dưỡng,"Tổ hợp môn: A01, B00, D01, D08",NV1: 17.10
9,Mã ngành: 7810103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,"Tổ hợp môn: A00, C00, D01, D15",NV1: 14.00
