,0,1,2,3
0,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 13.00
1,Mã ngành: 7480102,Tên ngành: Truyền thông và mạng máy tính,Tổ hợp môn:,NV1: 13.00
2,Mã ngành: 7480103,Tên ngành: Kĩ thuật phần mềm,Tổ hợp môn:,NV1: 13.00
3,Mã ngành: 7520114,Tên ngành: Kĩ thuật cơ - điện tử,Tổ hợp môn:,NV1: 13.00
4,Mã ngành: 7520201,"Tên ngành: Kĩ thuật điện, điện tử",Tổ hợp môn:,NV1: 13.00
5,Mã ngành: 7520216,Tên ngành: Kĩ thuật Điều khiển và Tự động hóa,Tổ hợp môn:,NV1: 13.00
6,Mã ngành: 7720501,Tên ngành: Điều dưỡng,Tổ hợp môn:,NV1: 14.00
7,Mã ngành: C340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 10.00
8,Mã ngành: C480102,Tên ngành: Truyền thông và mạng máy tính,Tổ hợp môn:,NV1: 10.00
9,Mã ngành: C510203,Tên ngành: Công nghệ kĩ thuật cơ điện tử,Tổ hợp môn:,NV1: 10.00
10,Mã ngành: C510301,"Tên ngành: công nghệ kỹ thuật điện , điện tử",Tổ hợp môn:,NV1: 10.00
11,Mã ngành: C510303,Tên ngành: Công nghệ kĩ thuật điều khiển và tự động hóa,Tổ hợp môn:,NV1: 10.00
12,Mã ngành: C720501,Tên ngành: Điều dưỡng,Tổ hợp môn:,NV1: 11.00
