,0,1,2,3
0,Mã ngành: 7120222,Tên ngành: Sư phạm mỹ thuật,Tổ hợp môn: H00,NV1: 26.10
1,Mã ngành: 7140221,Tên ngành: Sư phạm âm nhạc mầm non,Tổ hợp môn: N00,NV1: 27.00
2,Mã ngành: 7140221,Tên ngành: Sư phạm âm nhạc,Tổ hợp môn: N00,NV1: 26.10
3,Mã ngành: 7140222,Tên ngành: Sư phạm mỹ thuật mầm non,Tổ hợp môn: H00,NV1: 26.10
4,Mã ngành: 7210103,Tên ngành: Hội hoạ,Tổ hợp môn: H00,NV1: 27.00
5,Mã ngành: 7210205,Tên ngành: Thanh nhạc,Tổ hợp môn: N00,NV1: 4.20
6,Mã ngành: 7210208,Tên ngành: Piano,Tổ hợp môn: N00,NV1: 34.50
7,Mã ngành: 7210234,"Tên ngành: Diễn viên kịch, điện ảnh - truyền hình",Tổ hợp môn: S00,NV1: 26.10
8,Mã ngành: 7210403,Tên ngành: Thiết kế đồ hoạ,Tổ hợp môn: H00,NV1: 30.10
9,Mã ngành: 7210404,Tên ngành: Thiết kế thời trang,Tổ hợp môn: H00,NV1: 28.10
10,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,"Tổ hợp môn: A01, D01, D10, D14",NV1: 13.00
11,Mã ngành: 7220210,Tên ngành: Ngôn ngữ Hàn Quốc,"Tổ hợp môn: A01, C00, D01, D15",NV1: 13.00
12,Mã ngành: 7229042,Tên ngành: Quản lý văn hóa,"Tổ hợp môn: N00, H00, R00, C00",NV1: 26.10
13,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00, A01, D01",NV1: 13.00
14,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00, A01, D01",NV1: 13.00
15,Mã ngành: 7480102,Tên ngành: Mạng máy tính và truyền thông dữ liệu,"Tổ hợp môn: A00, A01, D01",NV1: 13.00
16,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,"Tổ hợp môn: A00, A01, D01",NV1: 13.00
17,Mã ngành: 7520103,Tên ngành: Kỹ thuật cơ khí,"Tổ hợp môn: A00, A01, D01",NV1: 13.00
18,Mã ngành: 7520201,Tên ngành: Kỹ thuật điện,"Tổ hợp môn: A00, A01, D01",NV1: 13.00
19,Mã ngành: 7540204,Tên ngành: Công nghệ dệt may,"Tổ hợp môn: H00, A00, D01",NV1: 16.10
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
