,0,1,2,3
0,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00,A01,D01,D07",NV1: 16.50
1,Mã ngành: 7340201,Tên ngành: Tài chính – Ngân hàng,"Tổ hợp môn: A00,A01,D01,D07",NV1: 16.50
2,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00,A01,D01,D07",NV1: 17.00
3,Mã ngành: 7340301VP,Tên ngành: Kế toán,"Tổ hợp môn: A00,A01,D01,D07",NV1: 15.50
4,Mã ngành: 7480102,Tên ngành: Truyền thông và mạng máy tính,"Tổ hợp môn: A00,A01,D01,D07",NV1: 17.00
5,Mã ngành: 7480104,Tên ngành: Hệ thống thông tin,"Tổ hợp môn: A00,A01,D01,D07",NV1: 17.00
6,Mã ngành: 7480104VP,Tên ngành: Hệ thống thông tin,"Tổ hợp môn: A00,A01,D01,D07",NV1: 15.50
7,Mã ngành: 7510102,Tên ngành: Công nghệ kỹ thuật công trình xây dựng,"Tổ hợp môn: A00,A01,D01,D07",NV1: 16.00
8,Mã ngành: 7510102VP,Tên ngành: Công nghệ kỹ thuật xây dựng dân dụng và công nghiệp,"Tổ hợp môn: A00,A01,D01,D07",NV1: 15.50
9,Mã ngành: 7510104,Tên ngành: Công nghệ kỹ thuật giao thông,"Tổ hợp môn: A00,A01,D01,D07",NV1: 16.00
10,Mã ngành: 7510104TN,Tên ngành: Công nghệ kỹ thuật giao thông (Xây dựng Cầu đường bộ),"Tổ hợp môn: A00,A01,D01,D07",NV1: 15.50
11,Mã ngành: 7510104VP,Tên ngành: Công nghệ kỹ thuật giao thông (Xây dựng Cầu đường bộ),"Tổ hợp môn: A00,A01,D01,D07",NV1: 15.50
12,Mã ngành: 7510201,Tên ngành: CNKT Cơ khí máy tàu thủy,"Tổ hợp môn: A00,A01,D01,D07",NV1: 16.00
13,Mã ngành: 7510203,Tên ngành: Công nghệ kỹ thuật cơ điện tử,"Tổ hợp môn: A00,A01,D01,D07",NV1: 17.50
14,Mã ngành: 7510205,Tên ngành: Công nghệ kĩ thuật ô tô,"Tổ hợp môn: A00,A01,D01,D07",NV1: 19.00
15,Mã ngành: 7510205VP,Tên ngành: Công nghệ kỹ thuật Ô tô,"Tổ hợp môn: A00,A01,D01,D07",NV1: 15.50
16,Mã ngành: 7510302,"Tên ngành: Công nghệ kỹ thuật điện tử, truyền thông","Tổ hợp môn: A00,A01,D01,D07",NV1: 17.00
17,Mã ngành: 7510302VP,Tên ngành: Công nghệ kỹ thuật Điện tử - viễn thông,"Tổ hợp môn: A00,A01,D01,D07",NV1: 15.50
18,Mã ngành: 7510406,Tên ngành: Công nghệ kỹ thuật môi trường,"Tổ hợp môn: A00,B00,D01,D07",NV1: 16.00
19,Mã ngành: 7580301,Tên ngành: Kinh tế xây dựng,"Tổ hợp môn: A00,A01,D01,D07",NV1: 17.00
20,Mã ngành: 7580301VP,Tên ngành: Kinh tế xây dựng,"Tổ hợp môn: A00,A01,D01,D07",NV1: 15.50
21,Mã ngành: 7840104,Tên ngành: Kinh tế vận tải,"Tổ hợp môn: A00,A01,D01,D07",NV1: 16.00
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
