,0,1,2,3
0,Mã ngành: 7480102,Tên ngành: - Truyền thông và mạng máy tính,Tổ hợp môn:,NV1: 17.50
1,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 19.50
2,Mã ngành: 7520103,"Tên ngành: Kỹ thuật cơ khí – Chuyên ngành: Cơ giới hoá xếp dỡ, Cơ khí ô tô, Máy xây dựng",Tổ hợp môn:,NV1: 19.10
3,Mã ngành: 7520103H,Tên ngành: Kỹ thuật cơ khí: Cơ khí ô tô (Hệ Đại học CLC),"Tổ hợp môn: A00, A01, D90",NV1: 25.50
4,Mã ngành: 7520103H,Tên ngành: Kỹ thuật cơ khí: Cơ khí ô tô (Hệ Đại học CLC),Tổ hợp môn:,NV1: 19.00
5,Mã ngành: 7520122,"Tên ngành: Kỹ thuật tàu thủy – Chuyên ngành: Thiết kế thân tàu thủy, Công nghệ đóng tàu thủy, Thiết bị năng lượng tàu thủy, Kỹ thuật công trình ngoài khơi","Tổ hợp môn: A00, A01, D90",NV1: 20.00
6,Mã ngành: 7520122,"Tên ngành: Kỹ thuật tàu thủy – Chuyên ngành: Thiết kế thân tàu thủy, Công nghệ đóng tàu thủy, Thiết bị năng lượng tàu thủy, Kỹ thuật công trình ngoài khơi",Tổ hợp môn:,NV1: 14.40
7,Mã ngành: 7520201,"Tên ngành: Kỹ thuật điện, điện tử (Chuyên ngành: Điện và tự động tàu thuỷ, Điện công nghiệp, Hệ thống điện giao thông)",Tổ hợp môn:,NV1: 17.50
8,Mã ngành: 7520207,"Tên ngành: Kỹ thuật điện tử, truyền thông (Chuyên ngành Điện tử viễn thông)",Tổ hợp môn:,NV1: 17.50
9,Mã ngành: 7520207H,"Tên ngành: Kỹ thuật Điện tử, Truyền thông: Chuyên ngành Điện tử viễn thông (Hệ Đại học chất lượng cao",Tổ hợp môn:,NV1: 16.80
10,Mã ngành: 7520207H,"Tên ngành: Kỹ thuật Điện tử, Truyền thông: Chuyên ngành Điện tử viễn thông (Hệ Đại học chất lượng cao","Tổ hợp môn: A00, A01, D90",NV1: 22.00
11,Mã ngành: 7520216,Tên ngành: Kỹ thuật điều khiển và tự động hóa (Chuyên ngành Tự động hoá công nghiệp),Tổ hợp môn:,NV1: 19.10
12,Mã ngành: 7520320,Tên ngành: Kỹ thuật môi trường,"Tổ hợp môn: A00, A01, B00, D90",NV1: 20.00
13,Mã ngành: 7520320,Tên ngành: Kỹ thuật môi trường,Tổ hợp môn:,NV1: 16.30
14,Mã ngành: 7580201,"Tên ngành: Kỹ thuật công trình xây dựng – Chuyên ngành: Xây dựng dân dụng và công nghiệp, Kỹ thuật kết cấu công trình, Kỹ thuật nền móng và công trình ngầm",Tổ hợp môn:,NV1: 17.50
15,Mã ngành: 7580201H,Tên ngành: Kỹ thuật công trình xây dựng (Hệ Đại học chất lượng cao),"Tổ hợp môn: A00, A01, D90",NV1: 23.50
16,Mã ngành: 7580201H,Tên ngành: Kỹ thuật công trình xây dựng (Hệ Đại học chất lượng cao),Tổ hợp môn:,NV1: 16.40
17,Mã ngành: 7580205109,Tên ngành: Kỹ thuật xây dựng công trình giao thông - Chuyên ngành Xây dựng Công trình thủy và thềm lục địa,Tổ hợp môn:,NV1: 14.00
18,Mã ngành: 7580205111,Tên ngành: Kỹ thuật xây dựng công trình giao thông - Chuyên ngành Xây dựng cầu đường,Tổ hợp môn:,NV1: 15.60
19,Mã ngành: 7580205111H,Tên ngành: Kỹ thuật xây dựng công trình giao thông (Chuyên ngành Xây dựng cầu đường),"Tổ hợp môn: A00, A01, D90",NV1: 20.50
20,Mã ngành: 7580205111H,Tên ngành: Kỹ thuật xây dựng công trình giao thông (Chuyên ngành Xây dựng cầu đường),Tổ hợp môn:,NV1: 14.70
21,Mã ngành: 7580205117,Tên ngành: Kỹ thuật xây dựng công trình giao thông - Chuyên ngành Quy hoạch và thiết kế công trình giao thông,Tổ hợp môn:,NV1: 14.00
22,Mã ngành: 7580205120,Tên ngành: Kỹ thuật xây dựng công trình giao thông - Chuyên ngành Xây dựng đường sắt - Metro,Tổ hợp môn:,NV1: 14.00
23,Mã ngành: 7580205122,Tên ngành: Kỹ thuật xây dựng công trình giao thông - Chuyên ngành Xây dựng cầu hầm,Tổ hợp môn:,NV1: 14.00
24,Mã ngành: 7580205123,Tên ngành: Kỹ thuật xây dựng công trình giao thông - Chuyên ngành Xây dựng đường bộ,Tổ hợp môn:,NV1: 14.50
25,Mã ngành: 7580301,"Tên ngành: Kinh tế xây dựng (Chuyên ngành: Kinh tế xây dựng, Quản lý dự án xây dựng)",Tổ hợp môn:,NV1: 17.80
26,Mã ngành: 7580301H,Tên ngành: Kinh tế xây dựng (Hệ Đại học chất lượng cao),"Tổ hợp môn: A00, A01, D01, D90",NV1: 24.00
27,Mã ngành: 7580301H,Tên ngành: Kinh tế xây dựng (Hệ Đại học chất lượng cao),Tổ hợp môn:,NV1: 17.00
28,Mã ngành: 7840101,Tên ngành: Khai thác vận tải (Chuyên ngành: Quản trị Logistic và vận tải đa phương thức),Tổ hợp môn:,NV1: 21.20
29,Mã ngành: 7840101H,Tên ngành: Khai thác vận tải: Quản trị Logistic và Vận tải đa phương thức (Hệ Đại học chất lượng cao),"Tổ hợp môn: A00, A01, D01, D90",NV1: 27.30
30,Mã ngành: 7840101H,Tên ngành: Khai thác vận tải: Quản trị Logistic và Vận tải đa phương thức (Hệ Đại học chất lượng cao),Tổ hợp môn:,NV1: 20.90
31,Mã ngành: 7840104,Tên ngành: Kinh tế vận tải (Chuyên ngành Kinh tế vận tải biển),Tổ hợp môn:,NV1: 19.60
32,Mã ngành: 7840104H,Tên ngành: Kinh tế vận tải (Hệ Đại học chất lượng cao),"Tổ hợp môn: A00, A01, D01, D90",NV1: 25.70
33,Mã ngành: 7840104H,Tên ngành: Kinh tế vận tải (Hệ Đại học chất lượng cao),Tổ hợp môn:,NV1: 18.80
34,Mã ngành: 7840106101,Tên ngành: Khoa học Hàng hải: Điều khiển tàu biển (Chuyên ngành: Điều khiển tàu biển),Tổ hợp môn:,NV1: 14.00
35,Mã ngành: 7840106101H,Tên ngành: Khoa học Hàng hải: Điều khiển tàu biển (Hệ Đại học chất lượng cao),"Tổ hợp môn: A00, A01, D90",NV1: 20.00
36,Mã ngành: 7840106102,Tên ngành: Khoa học Hàng hải:Vận hành khai thác máy tàu biển (Chuyên ngành: Vận hành khai thác máy tàu biển),"Tổ hợp môn: A00, A01, D90",NV1: 20.00
37,Mã ngành: 7840106102,Tên ngành: Khoa học Hàng hải:Vận hành khai thác máy tàu biển (Chuyên ngành: Vận hành khai thác máy tàu biển),Tổ hợp môn:,NV1: 14.00
38,Mã ngành: 7840106103,Tên ngành: Khoa học hàng hải - Chuyên ngành: Thiết bị năng lượng tàu thủy,"Tổ hợp môn: A00, A01, D90",NV1: 20.00
39,Mã ngành: 7840106103,Tên ngành: Khoa học hàng hải - Chuyên ngành: Thiết bị năng lượng tàu thủy,Tổ hợp môn:,NV1: 14.00
40,Mã ngành: 7840106104,Tên ngành: Khoa học Hàng hải: Quản lý Hàng hải,Tổ hợp môn:,NV1: 17.70
41,Mã ngành: 7840106104H,Tên ngành: Khoa học Hàng hải (Chuyên ngành Quản lý hàng hải),"Tổ hợp môn: A00, A01, D90",NV1: 20.00
42,Mã ngành: 784016101H,Tên ngành: Ngành Khoa học Hàng hải -Chuyên ngành Điều khiển tàu biển,Tổ hợp môn:,NV1: 14.00
43,Mã ngành: 784016104H,Tên ngành: Ngành Khoa học Hàng hải - Chuyên ngành Quản lý hàng hải,Tổ hợp môn:,NV1: 17.30
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
