,0,1,2,3
0,Mã ngành: 7220201,Tên ngành: NGÔN NGỮ ANH,Tổ hợp môn:,NV1: 18.00
1,Mã ngành: 7220301,Tên ngành: Chuyên ngành TRIẾT MÁC LÊNIN,Tổ hợp môn:,NV1: 17.00
2,Mã ngành: 7220301,Tên ngành: Chuyên ngành TRIẾT MÁC LÊNIN,Tổ hợp môn:,NV1: 16.50
3,Mã ngành: 7220301,Tên ngành: Chuyên ngành CHỦ NGHĨA XÃ HỘI KHOA HỌC,Tổ hợp môn:,NV1: 16.50
4,Mã ngành: 7220310,Tên ngành: LỊCH SỬ ĐẢNG,Tổ hợp môn:,NV1: 17.00
5,Mã ngành: 7310101,Tên ngành: Chuyên ngành QUẢN LÝ KINH TẾ,Tổ hợp môn:,NV1: 19.00
6,Mã ngành: 7310101,Tên ngành: Chuyên ngành QUẢN LÝ KINH TẾ,Tổ hợp môn:,NV1: 18.00
7,Mã ngành: 7310101,Tên ngành: Chuyên ngành KINH TẾ CHÍNH TRỊ MÁC LÊNIN,Tổ hợp môn:,NV1: 16.50
8,Mã ngành: 7310201,Tên ngành: VĂN HÓA VÀ PHÁT TRIỂN,Tổ hợp môn:,NV1: 18.50
9,Mã ngành: 7310201,Tên ngành: VĂN HÓA VÀ PHÁT TRIỂN,Tổ hợp môn:,NV1: 20.00
10,Mã ngành: 7310201,Tên ngành: GIÁO DỤC LÝ LUẬN CHÍNH TRỊ,Tổ hợp môn:,NV1: 17.00
11,Mã ngành: 7310201,Tên ngành: Chuyên ngành GIÁO DỤC LÝ LUẬN CHÍNH TRỊ,Tổ hợp môn:,NV1: 17.50
12,Mã ngành: 7310201,Tên ngành: Chuyên ngành TƯ TƯỞNG HCM,Tổ hợp môn:,NV1: 17.00
13,Mã ngành: 7310201,Tên ngành: Chuyên ngành TƯ TƯỞNG HCM,Tổ hợp môn:,NV1: 16.50
14,Mã ngành: 7310201,Tên ngành: Chuyên ngành QUẢN LÝ XÃ HỘI,Tổ hợp môn:,NV1: 17.00
15,Mã ngành: 7310201,Tên ngành: Chuyên ngành KHOA HỌC QUẢN LÝ NHÀ NƯỚC,Tổ hợp môn:,NV1: 20.50
16,Mã ngành: 7310201,Tên ngành: CHÍNH SÁCH CÔNG,Tổ hợp môn:,NV1: 17.00
17,Mã ngành: 7310201,Tên ngành: VĂN HÓA VÀ PHÁT TRIỂN,Tổ hợp môn:,NV1: 18.50
18,Mã ngành: 7310201,Tên ngành: VĂN HÓA VÀ PHÁT TRIỂN,Tổ hợp môn:,NV1: 20.00
19,Mã ngành: 7310201,Tên ngành: GIÁO DỤC LÝ LUẬN CHÍNH TRỊ,Tổ hợp môn:,NV1: 17.00
20,Mã ngành: 7310201,Tên ngành: Chuyên ngành GIÁO DỤC LÝ LUẬN CHÍNH TRỊ,Tổ hợp môn:,NV1: 17.50
21,Mã ngành: 7310201,Tên ngành: Chuyên ngành TƯ TƯỞNG HCM,Tổ hợp môn:,NV1: 17.00
22,Mã ngành: 7310202,Tên ngành: XÂY DỰNG ĐẢNG VÀ CHÍNH QUYỀN NHÀ NƯỚC,Tổ hợp môn:,NV1: 18.50
23,Mã ngành: 7310202,Tên ngành: XÂY DỰNG ĐẢNG VÀ CHÍNH QUYỀN NHÀ NƯỚC,Tổ hợp môn:,NV1: 21.00
24,Mã ngành: 7310206,Tên ngành: Chuyên ngành QUAN HỆ CHÍNH TRỊ VÀ TRUYỀN THÔNG QUỐC TẾ,Tổ hợp môn:,NV1: 20.00
25,Mã ngành: 7310206,Tên ngành: Chuyên ngành THÔNG TIN ĐỐI NGOẠI,Tổ hợp môn:,NV1: 21.00
26,Mã ngành: 7310206,Tên ngành: Chuyên ngành THÔNG TIN ĐỐI NGOẠI,Tổ hợp môn:,NV1: 22.00
27,Mã ngành: 7310301,Tên ngành: XÃ HỘI HỌC,Tổ hợp môn:,NV1: 17.50
28,Mã ngành: 7310301,Tên ngành: XÃ HỘI HỌC,Tổ hợp môn:,NV1: 17.00
29,Mã ngành: 7320101,Tên ngành: Chuyên ngành BÁO IN,Tổ hợp môn:,NV1: 21.50
30,Mã ngành: 7320101,Tên ngành: Chuyên ngành BÁO IN,Tổ hợp môn:,NV1: 21.00
31,Mã ngành: 7320101,Tên ngành: Chuyên ngành BÁO IN,Tổ hợp môn:,NV1: 21.50
32,Mã ngành: 7320101,Tên ngành: Chuyên ngành BÁO CHÍ ĐA PHƯƠNG TIỆN,Tổ hợp môn:,NV1: 19.50
33,Mã ngành: 7320101,Tên ngành: Chuyên ngành BÁO CHÍ ĐA PHƯƠNG TIỆN,Tổ hợp môn:,NV1: 20.00
34,Mã ngành: 7320101,Tên ngành: Chuyên ngành BÁO MẠNG ĐIỆN TỬ,Tổ hợp môn:,NV1: 22.00
35,Mã ngành: 7320101,Tên ngành: Chuyên ngành BÁO MẠNG ĐIỆN TỬ,Tổ hợp môn:,NV1: 21.50
36,Mã ngành: 7320101,Tên ngành: Chuyên ngành QUAY PHIM TRUYỀN HÌNH,Tổ hợp môn:,NV1: 17.50
37,Mã ngành: 7320101,Tên ngành: Chuyên ngành QUAY PHIM TRUYỀN HÌNH,Tổ hợp môn:,NV1: 19.00
38,Mã ngành: 7320101,Tên ngành: Chuyên ngành BÁO TRUYỀN HÌNH,Tổ hợp môn:,NV1: 21.50
39,Mã ngành: 7320101,Tên ngành: Chuyên ngành BÁO TRUYỀN HÌNH,Tổ hợp môn:,NV1: 23.00
40,Mã ngành: 7320101,Tên ngành: Chuyên ngành BÁO PHÁT THANH,Tổ hợp môn:,NV1: 17.00
41,Mã ngành: 7320101,Tên ngành: Chuyên ngành BÁO PHÁT THANH,Tổ hợp môn:,NV1: 21.00
42,Mã ngành: 7320101,Tên ngành: Chuyên ngành BÁO ẢNH,Tổ hợp môn:,NV1: 19.00
43,Mã ngành: 7320110,Tên ngành: QUẢNG CÁO,Tổ hợp môn:,NV1: 17.50
44,Mã ngành: 7320401,Tên ngành: XUẤT BẢN,Tổ hợp môn:,NV1: 19.50
45,Mã ngành: 7320401,Tên ngành: XUẤT BẢN,Tổ hợp môn:,NV1: 20.50
