,0,1,2,3
0,Mã ngành: 7310101,Tên ngành: Kinh tế,"Tổ hợp môn: A00, A01, C01, D01",NV1: 19.00
1,Mã ngành: 7310101,Tên ngành: Kinh tế,Tổ hợp môn:,NV1: 17.00
2,Mã ngành: 7310101,Tên ngành: Kinh tế,Tổ hợp môn:,NV1: 12.00
3,Mã ngành: 7310101,Tên ngành: Kinh tế,"Tổ hợp môn: A00, A01, C01, D01",NV1: 19.00
4,Mã ngành: 7310106,Tên ngành: Kinh tế quốc tế,Tổ hợp môn:,NV1: 18.00
5,Mã ngành: 7310106,Tên ngành: Kinh tế quốc tế,Tổ hợp môn:,NV1: 12.00
6,Mã ngành: 7310106,Tên ngành: Kinh tế quốc tế,"Tổ hợp môn: A00, A01, D01, D07",NV1: 19.00
7,Mã ngành: 7310106,Tên ngành: Kinh tế quốc tế,"Tổ hợp môn: A00, A01, D01, D07",NV1: 19.00
8,Mã ngành: 7310205,Tên ngành: Quản lý nhà nước,Tổ hợp môn:,NV1: 12.00
9,Mã ngành: 7310205,Tên ngành: Quản lý nhà nước,"Tổ hợp môn: A00, A01, C01, D01",NV1: 19.00
10,Mã ngành: 7310205,Tên ngành: Quản lý nhà nước,"Tổ hợp môn: A00, A01, C01, D01",NV1: 19.00
11,Mã ngành: 7310205,Tên ngành: Quản lý nhà nước,Tổ hợp môn:,NV1: 17.00
12,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 12.00
13,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00, A01, C02, D01",NV1: 19.00
14,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00, A01, C02, D01",NV1: 19.00
15,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 12.00
16,Mã ngành: 7340201,Tên ngành: Tài chính – Ngân hàng,"Tổ hợp môn: A00, A01, D01, D07",NV1: 19.00
17,Mã ngành: 7340201,Tên ngành: Tài chính – Ngân hàng,"Tổ hợp môn: A00, A01, D01, D07",NV1: 19.00
18,Mã ngành: 7340201,Tên ngành: Tài chính – Ngân hàng,Tổ hợp môn:,NV1: 17.50
19,Mã ngành: 7340201,Tên ngành: Tài chính – Ngân hàng,Tổ hợp môn:,NV1: 12.00
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
