,0,1,2,3
0,Mã ngành: 7140201,Tên ngành: Giáo dục Mầm non,Tổ hợp môn:,NV1: 13.50
1,Mã ngành: 7140202,Tên ngành: Giáo dục Tiểu học,Tổ hợp môn:,NV1: 13.50
2,Mã ngành: 7140209,Tên ngành: SP Toán học,Tổ hợp môn:,NV1: 14.50
3,Mã ngành: 7140211,Tên ngành: SP Vật lý,Tổ hợp môn:,NV1: 13.00
4,Mã ngành: 7140212,Tên ngành: SP Hoá học,Tổ hợp môn:,NV1: 14.00
5,Mã ngành: 7140212,Tên ngành: SP Hóa học,Tổ hợp môn:,NV1: 13.00
6,Mã ngành: 7140213,Tên ngành: SP Sinh học,Tổ hợp môn:,NV1: 14.00
7,Mã ngành: 7140217,Tên ngành: SP Ngữ văn,Tổ hợp môn:,NV1: 13.50
8,Mã ngành: 7140217,Tên ngành: SP Ngữ văn,Tổ hợp môn:,NV1: 14.00
9,Mã ngành: 7140218,Tên ngành: SP Lịch sử,Tổ hợp môn:,NV1: 14.00
10,Mã ngành: 7140219,Tên ngành: SP Địa lý,Tổ hợp môn:,NV1: 13.00
11,Mã ngành: 7140219,Tên ngành: SP Địa lý,Tổ hợp môn:,NV1: 14.00
12,Mã ngành: 7140231,Tên ngành: SP Tiếng Anh,Tổ hợp môn:,NV1: 13.50
13,Mã ngành: 7140231,Tên ngành: SP Tiếng Anh,Tổ hợp môn:,NV1: 13.00
14,Mã ngành: 7220113,Tên ngành: Việt Nam học (định hướng Hướng dẫn DL),Tổ hợp môn:,NV1: 14.00
15,Mã ngành: 7220113,Tên ngành: Việt Nam học (định hướng Hướng dẫn DL),Tổ hợp môn:,NV1: 13.00
16,Mã ngành: 7220113,Tên ngành: Việt Nam học (định hướng Hướng dẫn DL),Tổ hợp môn:,NV1: 13.50
17,Mã ngành: 7220310,"Tên ngành: Lịch sử (định hướng Q.lý di tích, danh thắng)",Tổ hợp môn:,NV1: 14.00
18,Mã ngành: 7220330,Tên ngành: Văn học,Tổ hợp môn:,NV1: 13.50
19,Mã ngành: 7220330,Tên ngành: Văn học,Tổ hợp môn:,NV1: 14.00
20,Mã ngành: 7310301,Tên ngành: Xã hội học (Định hướng Công tác xã hội),Tổ hợp môn:,NV1: 14.50
21,Mã ngành: 7310301,Tên ngành: Xã hội học (định hướng Công tác XH),Tổ hợp môn:,NV1: 15.50
22,Mã ngành: 7310301,Tên ngành: Xã hội học (định hướng Công tác XH),Tổ hợp môn:,NV1: 14.00
23,Mã ngành: 7310401,Tên ngành: Tâm lý học (định hướng Q.trị nhân sự),Tổ hợp môn:,NV1: 13.50
24,Mã ngành: 7310401,Tên ngành: Tâm lý học (định hướng Quản trị nhân sự),Tổ hợp môn:,NV1: 14.00
25,Mã ngành: 7310401,Tên ngành: Tâm lý học (định hướng Q.trị nhân sự),Tổ hợp môn:,NV1: 13.00
26,Mã ngành: 7310501,Tên ngành: Địa lý học (định hướng Q.lý tài nguyên MT),Tổ hợp môn:,NV1: 14.00
27,Mã ngành: 7310501,Tên ngành: Địa lý học (định hướng Q.lý tài nguyên MT),Tổ hợp môn:,NV1: 13.00
28,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 13.50
29,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 13.00
30,Mã ngành: 7340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 13.50
31,Mã ngành: 7340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 13.00
32,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 14.50
33,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 14.00
34,Mã ngành: 7440102,Tên ngành: Vật lý học (Vật lý ứng dụng),Tổ hợp môn:,NV1: 13.00
35,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 13.00
36,Mã ngành: 7580201,Tên ngành: Kỹ thuật công trình xây dựng,Tổ hợp môn:,NV1: 13.00
37,Mã ngành: 7620105,Tên ngành: Chăn nuôi (Chăn nuôi - Thú y),Tổ hợp môn:,NV1: 14.00
38,Mã ngành: 7620105,Tên ngành: Chăn nuôi (Chăn nuôi - Thú y),Tổ hợp môn:,NV1: 13.00
39,Mã ngành: 7620109,Tên ngành: Nông học (định hướng công nghệ cao),Tổ hợp môn:,NV1: 14.00
40,Mã ngành: 7620109,Tên ngành: Nông học (định hướng công nghệ cao),Tổ hợp môn:,NV1: 13.00
41,Mã ngành: 7620112,Tên ngành: Bảo vệ thực vật,Tổ hợp môn:,NV1: 14.00
42,Mã ngành: 7620112,Tên ngành: Bảo vệ thực vật,Tổ hợp môn:,NV1: 13.00
43,Mã ngành: 7620201,Tên ngành: Lâm nghiệp,Tổ hợp môn:,NV1: 14.00
44,Mã ngành: 7620201,Tên ngành: Lâm nghiệp,Tổ hợp môn:,NV1: 13.00
45,Mã ngành: C140201,Tên ngành: Giáo dục Mầm non,Tổ hợp môn:,NV1: 10.00
46,Mã ngành: C140202,Tên ngành: Giáo dục Tiểu học,Tổ hợp môn:,NV1: 10.00
47,Mã ngành: C140209,Tên ngành: SP Toán học (SP Toán-Tin),Tổ hợp môn:,NV1: 10.00
48,Mã ngành: C140212,Tên ngành: SP Hoá học (SP Hoá-Sinh),Tổ hợp môn:,NV1: 10.00
49,Mã ngành: C140212,Tên ngành: SP Hoá học (SP Hoá-Sinh),Tổ hợp môn:,NV1: 11.00
50,Mã ngành: C140213,Tên ngành: SP Sinh học (SP Sinh-Công nghệ NN),Tổ hợp môn:,NV1: 11.00
51,Mã ngành: C140217,Tên ngành: SP Ngữ Văn (Văn-Sử),Tổ hợp môn:,NV1: 10.00
52,Mã ngành: C140217,Tên ngành: SP Ngữ Văn (Văn-Sử),Tổ hợp môn:,NV1: 11.00
53,Mã ngành: C140219,Tên ngành: SP Địa lý (Địa-Sử),Tổ hợp môn:,NV1: 11.00
54,Mã ngành: C140219,Tên ngành: SP Địa lý (Địa-Sử),Tổ hợp môn:,NV1: 10.00
55,Mã ngành: C140231,Tên ngành: SP Tiếng Anh,Tổ hợp môn:,NV1: 10.00
56,Mã ngành: C340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 10.00
57,Mã ngành: C340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 10.00
58,Mã ngành: C480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 10.00
