,0,1,2,3
0,Mã ngành: 7220201D124,Tên ngành: Tiếng Anh thương mại,"Tổ hợp môn: D01, A01, D10, D14 (T.Anh hệ số 2)",NV1: 25.00
1,Mã ngành: 7220201D125,"Tên ngành: Ngôn ngữ Anh,","Tổ hợp môn: D01, A01, D10, D14 (T.Anh hệ số 2)",NV1: 25.50
2,Mã ngành: 7340101A403,Tên ngành: Quản lý kinh doanh và marketing,"Tổ hợp môn: A01, D01, D07, D15",NV1: 17.50
3,Mã ngành: 7340101D403,"Tên ngành: Quản trị kinh doanh,","Tổ hợp môn: A00, A01, C01, D01",NV1: 18.50
4,Mã ngành: 7340101D404,Tên ngành: Quản trị tài chính kế toán,"Tổ hợp môn: A00, A01, C01, D01",NV1: 18.00
5,Mã ngành: 7340101D411,Tên ngành: Quản trị tài chính ngân hàng,"Tổ hợp môn: A00, A01, C01, D01",NV1: 17.50
6,Mã ngành: 7340120A409,Tên ngành: Kinh doanh quốc tế và logistics,"Tổ hợp môn: A01, D01, D07, D15",NV1: 18.50
7,Mã ngành: 7340120D402,Tên ngành: Kinh tế ngoại thương,"Tổ hợp môn: A00, A01, C01, D01",NV1: 20.50
8,Mã ngành: 7340120H402,Tên ngành: Kinh tế ngoại thương (CLC),"Tổ hợp môn: A00, A01, C01, D01",NV1: 16.00
9,Mã ngành: 7380101D120,Tên ngành: Chuyên ngành Luật hàng hải,"Tổ hợp môn: A00, A01, C01, D01",NV1: 16.00
10,Mã ngành: 7480201D114,"Tên ngành: Công nghệ thông tin,","Tổ hợp môn: A00, A01, C01, D01",NV1: 18.50
11,Mã ngành: 7480201D118,Tên ngành: Công nghệ phần mềm,"Tổ hợp môn: A00, A01, C01, D01",NV1: 17.00
12,Mã ngành: 7480201D119,Tên ngành: Kỹ thuật truyền thông và mạng máy tính,"Tổ hợp môn: A00, A01, C01, D01",NV1: 15.50
13,Mã ngành: 7480201H114,Tên ngành: Công nghệ thông tin (CLC),"Tổ hợp môn: A00, A01, C01, D01",NV1: 14.00
