,0,1,2,3
0,Mã ngành: 51140201,Tên ngành: Giáo duc Mâm non,Tổ hợp môn:,NV1: 29.52
1,Mã ngành: 51140202,Tên ngành: Giáo duc Tiêu hoc,Tổ hợp môn:,NV1: 22.20
2,Mã ngành: 51140206,Tên ngành: Giáo duc Thê chât,Tổ hợp môn:,NV1: 27.42
3,Mã ngành: 51140209,Tên ngành: Sư phạm Toán học (Trong ngân sách),Tổ hợp môn:,NV1: 20.68
4,Mã ngành: 51140213,Tên ngành: Sư phạm Sinh học.,Tổ hợp môn:,NV1: 22.83
5,Mã ngành: 51140217,Tên ngành: Sư phạm Ngữ văn.,Tổ hợp môn:,NV1: 24.47
6,Mã ngành: 51140219,Tên ngành: Sư phạm Địa lý.,Tổ hợp môn:,NV1: 20.50
7,Mã ngành: 7140114,Tên ngành: Quản lý giáo dục,Tổ hợp môn:,NV1: 21.25
8,Mã ngành: 7140201,Tên ngành: Giáo duc Mâm non,Tổ hợp môn:,NV1: 37.58
9,Mã ngành: 7140202,Tên ngành: Giáo dục Tiêu học,Tổ hợp môn:,NV1: 25.25
10,Mã ngành: 7140203,Tên ngành: Giáo dục Đặc biệt,Tổ hợp môn:,NV1: 21.58
11,Mã ngành: 7140204,Tên ngành: Giáo dục công dân,Tổ hợp môn:,NV1: 22.58
12,Mã ngành: 7140209,Tên ngành: Sư phạm Toán học,Tổ hợp môn:,NV1: 26.58
13,Mã ngành: 7140211,Tên ngành: Sư phạm Vật lý,Tổ hợp môn:,NV1: 23.03
14,Mã ngành: 7140217,Tên ngành: Sư phạm Ngữ văn,Tổ hợp môn:,NV1: 28.67
15,Mã ngành: 7140218,Tên ngành: Sư phạm Lịch sử,Tổ hợp môn:,NV1: 21.33
16,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 27.80
17,Mã ngành: 7220204,Tên ngành: Ngôn ngữ Trung Quốc,Tổ hợp môn:,NV1: 27.02
18,Mã ngành: 7310201,Tên ngành: Chính tri hoc,Tổ hợp môn:,NV1: 19.83
19,Mã ngành: 7310630,Tên ngành: Việt Nam học (ĐH),Tổ hợp môn:,NV1: 22.58
20,Mã ngành: 7340101,Tên ngành: Quàn trị kinh doanh,Tổ hợp môn:,NV1: 25.85
21,Mã ngành: 7380101,Tên ngành: Luật.,Tổ hợp môn:,NV1: 29.28
22,Mã ngành: 7460112,Tên ngành: Toán ứng dụng,Tổ hợp môn:,NV1: 20.95
23,Mã ngành: 7480201,Tên ngành: Công nehê thông tin,Tổ hợp môn:,NV1: 23.93
24,Mã ngành: 7510406,Tên ngành: Công nghệ kĩ thuật môi trường,Tổ hợp môn:,NV1: 20.52
25,Mã ngành: 7510605,Tên ngành: Logistics và quản lý chuôi cung ứng,Tổ hợp môn:,NV1: 23.83
26,Mã ngành: 7760101,Tên ngành: Công tác xã hội,Tổ hợp môn:,NV1: 22.25
27,Mã ngành: 7810103,Tên ngành: Quản tri dịch vụ du lịch vi lữ hành (ĐH),Tổ hợp môn:,NV1: 30.42
28,Mã ngành: 7810201,Tên ngành: Quản tri khách sạn (ĐH),Tổ hợp môn:,NV1: 30.75
29,Mã ngành: SI 140210,Tên ngành: Sư nham Tin học (CĐ),Tổ hợp môn:,NV1: 20.23
30,Mã ngành: SI 140212,Tên ngành: Sư phạm Hỏa học (CĐ),Tổ hợp môn:,NV1: 21.23
31,Mã ngành: SI 140231,Tên ngành: Sư phạm Tiếng Anh (CĐ),Tổ hợp môn:,NV1: 25.05
32,,,,
33,,,,
