,0,1,2,3
0,Mã ngành: 7110109,Tên ngành: Truyền thông quốc tế (D3),Tổ hợp môn:,NV1: 23.25
1,Mã ngành: 7110109,Tên ngành: Truyền thông quốc tế,Tổ hợp môn:,NV1: 24.25
2,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 32.00
3,Mã ngành: 7310106,Tên ngành: Kinh tế quốc tế,Tổ hợp môn:,NV1: 24.00
4,Mã ngành: 7310106,Tên ngành: Kinh tế quốc tế (A),Tổ hợp môn:,NV1: 24.50
5,Mã ngành: 7310206,Tên ngành: Quan hệ quốc tế (thi THPT Quốc gia),Tổ hợp môn:,NV1: 20.00
6,Mã ngành: 7310206,Tên ngành: Quan hệ quốc tế,Tổ hợp môn:,NV1: 23.00
7,Mã ngành: 7310206,Tên ngành: Quan hệ quốc tế (Thi tại trường),Tổ hợp môn:,NV1: 16.67
8,Mã ngành: 7310206,Tên ngành: Quan hệ quốc tế,Tổ hợp môn:,NV1: 24.00
9,Mã ngành: 7380108,Tên ngành: Luật quốc tế,Tổ hợp môn:,NV1: 23.25
