,0,1,2,3
0,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: A00,NV1: 28.15
1,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: C00,NV1: 24.50
2,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: A00,NV1: 27.45
3,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: A01,NV1: 17.35
4,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: A00,NV1: 18.75
5,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: C01,NV1: 29.85
6,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: D01,NV1: 18.15
7,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: C01,NV1: 24.90
8,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: C00,NV1: 22.25
9,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: C00,NV1: 26.75
10,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: A01,NV1: 17.05
11,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: C00,NV1: 27.85
12,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: A00,NV1: 17.15
13,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: D01,NV1: 17.85
14,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: A01,NV1: 24.90
15,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: C00,NV1: 24.50
16,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: A01,NV1: 17.35
17,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: A00,NV1: 27.45
18,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: A00,NV1: 18.75
19,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: C01,NV1: 29.85
20,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: D01,NV1: 18.15
21,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: C00,NV1: 22.25
22,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: C01,NV1: 24.90
23,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: A01,NV1: 17.05
24,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: C00,NV1: 26.75
25,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: A00,NV1: 17.15
26,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: C00,NV1: 27.85
27,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: A01,NV1: 24.90
28,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: D01,NV1: 17.85
29,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: A00,NV1: 28.35
30,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: C01,NV1: 24.90
31,,,,
