,0,1,2,3
0,Mã ngành: 101,Tên ngành: Công nghệ Kỹ thuật Điện,Tổ hợp môn:,NV1: 13.50
1,Mã ngành: 102,Tên ngành: Máy và thiết bị Cơ khí,Tổ hợp môn:,NV1: 13.00
2,Mã ngành: 102,Tên ngành: Công nghệ Kỹ thuật Cơ khí,Tổ hợp môn:,NV1: 14.00
3,Mã ngành: 103,Tên ngành: Công nghệ Nhiệt lạnh,Tổ hợp môn:,NV1: 13.00
4,Mã ngành: 104,Tên ngành: Công nghệ Kỹ thuật Điện tử,Tổ hợp môn:,NV1: 13.00
5,Mã ngành: 105,Tên ngành: Khoa học Máy tính,Tổ hợp môn:,NV1: 13.00
6,Mã ngành: 106,Tên ngành: Công nghệ Kỹ thuật Ôtô,Tổ hợp môn:,NV1: 13.00
7,Mã ngành: 107,Tên ngành: Công nghệ May - Thời trang,Tổ hợp môn:,NV1: 13.00
8,Mã ngành: 108,Tên ngành: Công nghệ Cơ - Điện tử,Tổ hợp môn:,NV1: 13.00
9,Mã ngành: 201,Tên ngành: Công nghệ phân tích.,Tổ hợp môn:,NV1: 18.50
10,Mã ngành: 201,Tên ngành: Công nghệ Phân tích,Tổ hợp môn:,NV1: 14.00
11,Mã ngành: 201,Tên ngành: Công nghệ Hóa.,Tổ hợp môn:,NV1: 19.50
12,Mã ngành: 201,Tên ngành: Công nghệ Hóa,Tổ hợp môn:,NV1: 15.00
13,Mã ngành: 201,Tên ngành: Công nghệ Hóa dầu.,Tổ hợp môn:,NV1: 21.00
14,Mã ngành: 201,Tên ngành: Công nghệ Hóa dầu,Tổ hợp môn:,NV1: 16.50
15,Mã ngành: 202,Tên ngành: Công nghệ sinh học.,Tổ hợp môn:,NV1: 19.00
16,Mã ngành: 202,Tên ngành: Công nghệ Sinh học,Tổ hợp môn:,NV1: 14.00
17,Mã ngành: 202,Tên ngành: Công nghệ thực phẩm.,Tổ hợp môn:,NV1: 20.00
