,0,1,2,3
0,Mã ngành: 7140215,Tên ngành: Sư phạm Kỹ thuật nông nghiệp,"Tổ hợp môn: A00,A01,B00,D01",NV1: 15.00
1,Mã ngành: 7310101,Tên ngành: Kinh tế,"Tổ hợp môn: A00,A01,B00,D01",NV1: 15.50
2,Mã ngành: 7310301,Tên ngành: Xã hội học,"Tổ hợp môn: A00,A01,C00,D01",NV1: 16.00
3,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00,A01,B00,D01",NV1: 15.50
4,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00,A01,C01,D01",NV1: 18.00
5,Mã ngành: 7420201,Tên ngành: Công nghệ sinh học,"Tổ hợp môn: A00,A01,B00,D08",NV1: 20.50
6,Mã ngành: 7440301,Tên ngành: Khoa học môi trường,"Tổ hợp môn: A00,A01,B00,D01",NV1: 16.00
7,Mã ngành: 7440306,Tên ngành: Khoa học đất,"Tổ hợp môn: A00,A01,B00,D01",NV1: 15.00
8,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,"Tổ hợp môn: A00,A01,C01,D01",NV1: 17.00
9,Mã ngành: 7510210,Tên ngành: Công thôn,"Tổ hợp môn: A00,A01,C01,D01",NV1: 15.00
10,Mã ngành: 7520103,Tên ngành: Kỹ thuật cơ khí,"Tổ hợp môn: A00,A01,C01,D01",NV1: 15.00
11,Mã ngành: 7520201,"Tên ngành: Kỹ thuật điện, điện tử","Tổ hợp môn: A00,A01,C01,D01",NV1: 15.00
12,Mã ngành: 7540101,Tên ngành: Công nghệ thực phẩm*,"Tổ hợp môn: A00,A01,B00,D01",NV1: 21.25
13,Mã ngành: 7540104,Tên ngành: Công nghệ sau thu hoạch,"Tổ hợp môn: A00,A01,B00,D01",NV1: 15.00
14,Mã ngành: 7580212,Tên ngành: Kỹ thuật tài nguyên nước,"Tổ hợp môn: A00,A01,B00,D01",NV1: 15.00
15,Mã ngành: 7620101,Tên ngành: Nông nghiệp,"Tổ hợp môn: A00,A01,B00,D01",NV1: 15.00
16,Mã ngành: 7620105,Tên ngành: Chăn nuôi,"Tổ hợp môn: A00,A01,B00,D01",NV1: 18.25
17,Mã ngành: 7620110,Tên ngành: Khoa học cây trồng,"Tổ hợp môn: A00,A01,B00,D01",NV1: 15.00
18,Mã ngành: 7620112,Tên ngành: Bảo vệ thực vật,"Tổ hợp môn: A00,A01,B00,D01",NV1: 15.00
19,Mã ngành: 7620113,Tên ngành: Công nghệ rau hoa quả và cảnh quan,"Tổ hợp môn: A00,A01,B00,D01",NV1: 18.50
20,Mã ngành: 7620114,Tên ngành: Kinh doanh nông nghiệp,"Tổ hợp môn: A00,A01,B00,D01",NV1: 15.00
21,Mã ngành: 7620115,Tên ngành: Kinh tế nông nghiệp,"Tổ hợp môn: A00,A01,B00,D01",NV1: 15.00
22,Mã ngành: 7620116,Tên ngành: Phát triển nông thôn,"Tổ hợp môn: A00,A01,B00,D01",NV1: 15.00
23,Mã ngành: 7620301,Tên ngành: Nuôi trồng thủy sản,"Tổ hợp môn: A00,A01,B00,D01",NV1: 15.00
24,Mã ngành: 7640101,Tên ngành: Thú y,"Tổ hợp môn: A00,A01,B00,D01",NV1: 20.00
25,Mã ngành: 7850103,Tên ngành: Quản lý đất đai,"Tổ hợp môn: A00,A01,B00,D01",NV1: 16.00
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
