,0,1,2,3
0,Mã ngành: 7720201,Tên ngành: Y học cổ truyền (6 năm),Tổ hợp môn:,NV1: 16.50
1,Mã ngành: 7720201,Tên ngành: Y học cổ truyền (6 năm),Tổ hợp môn:,NV1: 16.00
2,Mã ngành: 7720201,Tên ngành: Y học cổ truyền (6 năm),Tổ hợp môn:,NV1: 15.50
3,Mã ngành: 7720201,Tên ngành: Y học cổ truyền (6 năm),Tổ hợp môn:,NV1: 17.00
4,Mã ngành: 7720201,Tên ngành: Y học cổ truyền (6 năm),Tổ hợp môn:,NV1: 15.00
5,Mã ngành: 7720201,Tên ngành: Y học cổ truyền (6 năm),Tổ hợp môn:,NV1: 17.50
6,Mã ngành: 7720201,Tên ngành: Y học cổ truyền (6 năm),Tổ hợp môn:,NV1: 17.00
7,Mã ngành: 7720201,Tên ngành: Y học cổ truyền (6 năm),Tổ hợp môn:,NV1: 16.50
8,Mã ngành: 7720201,Tên ngành: Y học cổ truyền (6 năm),Tổ hợp môn:,NV1: 16.00
9,Mã ngành: 7720201,Tên ngành: Y học cổ truyền (6 năm),Tổ hợp môn:,NV1: 17.50
10,Mã ngành: 7720201,Tên ngành: Y học cổ truyền (6 năm),Tổ hợp môn:,NV1: 18.50
11,Mã ngành: 7720201,Tên ngành: Y học cổ truyền (6 năm),Tổ hợp môn:,NV1: 18.00
