,0,1,2,3
0,Mã ngành: 7420201,Tên ngành: Công nghệ sinh học,"Tổ hợp môn: A00, B00, D07, D08",NV1: 13.50
1,Mã ngành: 7480101,Tên ngành: Khoa học máy tính,"Tổ hợp môn: A00, A01, D01, D07",NV1: 13.50
2,Mã ngành: 7480103,Tên ngành: Kỹ thuật phần mềm,"Tổ hợp môn: A00, A01, D01, D07",NV1: 16.00
3,Mã ngành: 7480104,Tên ngành: Hệ thống thông tin,"Tổ hợp môn: A00, A01, D01, D07",NV1: 13.50
4,Mã ngành: 7480109,Tên ngành: Khoa học dữ liệu,"Tổ hợp môn: A00, A01, D01, D07",NV1: 12.10
5,Mã ngành: 7510102,Tên ngành: Công nghệ công trình xây dựng,"Tổ hợp môn: A00, A01, A02, C01",NV1: 13.50
6,Mã ngành: 7510203,Tên ngành: Công nghệ kỹ thuật cơ điện tử,"Tổ hợp môn: A00, A01, A02, C01",NV1: 14.00
7,Mã ngành: 7510301,"Tên ngành: Công nghệ kỹ thuật điện, điện tử","Tổ hợp môn: A00, A01, A02, C01",NV1: 14.00
8,Mã ngành: 7510303,Tên ngành: Công nghệ kỹ thuật điều khiển và tự động hóa,"Tổ hợp môn: A00, A01, A02, C01",NV1: 14.00
9,Mã ngành: 7510601,Tên ngành: Quản lý công nghiệp,"Tổ hợp môn: A00, A01, C01, D01",NV1: 14.10
10,Mã ngành: 7510605,Tên ngành: Logistics và quản lý chuỗi cung ứng,"Tổ hợp môn: A00, A01, C01, D01",NV1: 16.50
11,Mã ngành: 7520118,Tên ngành: Kỹ thuật hệ thống công nghiệp,"Tổ hợp môn: A00, A01, C01, D01",NV1: 13.00
12,Mã ngành: 7540101,Tên ngành: Công nghệ thực phẩm,"Tổ hợp môn: A00, B00, D07, D08",NV1: 15.00
13,Mã ngành: 7580302,Tên ngành: Quản lý xây dựng,"Tổ hợp môn: A00, A01, C01, D01",NV1: 13.00
