,0,1,2,3
0,Mã ngành: 7110105,Tên ngành: Thống kê kinh tế,Tổ hợp môn:,NV1: 23.50
1,Mã ngành: 7110106,Tên ngành: Toánứng dụng trong kinh tế,Tổ hợp môn:,NV1: 23.25
2,Mã ngành: 7110107,Tên ngành: Kinh tế tài nguyên,Tổ hợp môn:,NV1: 23.75
3,Mã ngành: 7110109,Tên ngành: Quản trị kinh doanh học bằng Tiếng Anh (E-BBA),Tổ hợp môn:,NV1: 23.75
4,Mã ngành: 7110110,Tên ngành: Các chương trìnhđịnh hướng ứng dụng (POHE),Tổ hợp môn:,NV1: 29.75
5,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 32.25
6,Mã ngành: 7310101,Tên ngành: Kinh tế,Tổ hợp môn:,NV1: 24.25
7,Mã ngành: 7310106,Tên ngành: Kinh tế quốc tế,Tổ hợp môn:,NV1: 25.75
8,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 25.00
9,Mã ngành: 7340103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,Tổ hợp môn:,NV1: 23.75
10,Mã ngành: 7340107,Tên ngành: Quản trị khách sạn,Tổ hợp môn:,NV1: 24.00
11,Mã ngành: 7340115,Tên ngành: Marketing,Tổ hợp môn:,NV1: 24.75
12,Mã ngành: 7340116,Tên ngành: Bất động sản,Tổ hợp môn:,NV1: 23.00
13,Mã ngành: 7340120,Tên ngành: Kinh doanh quốc tế,Tổ hợp môn:,NV1: 25.00
14,Mã ngành: 7340121,Tên ngành: Kinh doanh thương mại,Tổ hợp môn:,NV1: 24.25
15,Mã ngành: 7340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 25.25
16,Mã ngành: 7340202,Tên ngành: Bảo hiểm,Tổ hợp môn:,NV1: 23.25
17,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 26.00
18,Mã ngành: 7340404,Tên ngành: Quản trị nhân lực,Tổ hợp môn:,NV1: 24.25
19,Mã ngành: 7340405,Tên ngành: Hệ thống thông tin quản lý,Tổ hợp môn:,NV1: 22.75
20,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn:,NV1: 24.00
21,Mã ngành: 7480101,Tên ngành: Khoa học máy tính (Công nghệ thông tin),Tổ hợp môn:,NV1: 23.25
22,Mã ngành: 7620115,Tên ngành: Kinh tế nông nghiệp,Tổ hợp môn:,NV1: 23.00
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
