,0,1,2,3
0,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,"Tổ hợp môn: D01,D96",NV1: 28.00
1,Mã ngành: 7310101_01,Tên ngành: Ngành Kinh tế - Chuyên ngành Kinh tế học ứng dụng,"Tổ hợp môn: A00,A01,D01,D96",NV1: 18.00
2,Mã ngành: 7310101_02,Tên ngành: Ngành Kinh tế - Chuyên ngành Kinh tế nông nghiệp,"Tổ hợp môn: A00,A01,D01,D96",NV1: 18.00
3,Mã ngành: 7310101_03,Tên ngành: Ngành Kinh tế - Chuyên ngành Kinh tế chính trị,"Tổ hợp môn: A00,A01,D01,D96",NV1: 18.00
4,Mã ngành: 7340101_01,Tên ngành: Ngành Quản trị kinh doanh - Chuyên ngành Quản trị bệnh viện,"Tổ hợp môn: A00,A01,D01,D90",NV1: 21.00
5,Mã ngành: 7340405_01,Tên ngành: Ngành Hệ thống thông tin quản lý - Chuyên ngành Toán tài chính,"Tổ hợp môn: A00,A01,D01,D90",NV1: 25.00
6,Mã ngành: 7340405_02,Tên ngành: Ngành Hệ thống thông tin quản lý - Chuyên ngành Thống kê kinh doanh,"Tổ hợp môn: A00,A01,D01,D90",NV1: 25.00
7,Mã ngành: 7340405_03,Tên ngành: Ngành Hệ thống thông tin quản lý - Chuyên ngành Hệ thống thông tin kinh doanh,"Tổ hợp môn: A00,A01,D01,D90",NV1: 25.00
8,Mã ngành: 7340405_04,Tên ngành: Ngành Hệ thống thông tin quản lý - Chuyên ngành Thương mại điện tử,"Tổ hợp môn: A00,A01,D01,D90",NV1: 25.00
9,Mã ngành: 7380101,Tên ngành: Luật,"Tổ hợp môn: A00,A01,D01,D96",NV1: 21.00
10,Mã ngành: 7NHOM1,"Tên ngành: Gồm các ngành: Kinh tế, Quản trị kinh doanh, Marketing, Kinh doanh QT, Kinh doanh thương mại, Quản trị dịch vụ du lịch và lữ hành, Tài chính-Ngân hàng, Kế toán.(Chỉ tiêu chung,điểm trúng tuyển chung)","Tổ hợp môn: A00,A01,D01,D90",NV1: 21.00
