,0,1,2,3
0,Mã ngành: 7210105,Tên ngành: Điêu khắc,Tổ hợp môn: H00,NV1: 18.75
1,Mã ngành: 7210403,Tên ngành: Thiết kế đồ hoạ,Tổ hợp môn: H00,NV1: 21.25
2,Mã ngành: 7210404,Tên ngành: Thiết kế thời trang,Tổ hợp môn: H00,NV1: 20.25
3,Mã ngành: 7210405,Tên ngành: Thiết kế nội thất,Tổ hợp môn: H00,NV1: 19.75
4,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,"Tổ hợp môn: A00,A01,B00",NV1: 15.50
5,Mã ngành: 7510105,Tên ngành: Công nghệ kĩ thuật vật liệu xây dựng,"Tổ hợp môn: A00,B00",NV1: 15.50
6,Mã ngành: 7580102,Tên ngành: Kiến trúc,Tổ hợp môn: V00,NV1: 26.25
7,Mã ngành: 7580102.1,Tên ngành: Chương trình tiên tiến ngành kiến trúc,Tổ hợp môn: V00,NV1: 20.33
8,Mã ngành: 7580105,Tên ngành: Quy hoạch vùng và đô thị,Tổ hợp môn: V00,NV1: 24.08
9,Mã ngành: 7580110,Tên ngành: Kiến trúc cảnh quan,Tổ hợp môn: V00,NV1: 22.00
10,Mã ngành: 7580201,Tên ngành: Kĩ thuật công trình xây dựng (chuyên ngành: Xây dựng dân dụng và công nghiệp),Tổ hợp môn: A00,NV1: 15.50
11,Mã ngành: 7580201.1,Tên ngành: Kĩ thuật công trình xây dựng (chuyên ngành: Xây dựng công trình ngầm đô thị),Tổ hợp môn: A00,NV1: 18.50
12,Mã ngành: 7580205,Tên ngành: Kỹ thuật xây dựng công trình giao thông,"Tổ hợp môn: A00,A01,B00",NV1: 16.75
13,Mã ngành: 7580211,Tên ngành: Kỹ thuật hạ tầng đô thị,"Tổ hợp môn: A00,A01,B00",NV1: 15.75
14,Mã ngành: 7580211.1,Tên ngành: Kỹ thuật môi trường đô thị,"Tổ hợp môn: A00,A01,B00",NV1: 15.50
15,Mã ngành: 7580299,Tên ngành: Cấp thoát nước- Môi trường nước,"Tổ hợp môn: A00,A01,B00",NV1: 16.25
16,Mã ngành: 7580301,Tên ngành: Kinh tế xây dựng,Tổ hợp môn: A00,NV1: 15.50
17,Mã ngành: 7580302,Tên ngành: Quản lí xây dựng,"Tổ hợp môn: A00,A01",NV1: 15.50
18,,,,
19,,,,
20,,,,
