,0,1,2,3
0,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 700.00
1,Mã ngành: 7220209,Tên ngành: Ngôn ngữ Nhật,Tổ hợp môn:,NV1: 650.00
2,Mã ngành: 7220210,Tên ngành: Ngôn ngữ Hàn Quốc,Tổ hợp môn:,NV1: 650.00
3,Mã ngành: 7310206,Tên ngành: Quan hệ quốc tế,Tổ hợp môn:,NV1: 650.00
4,Mã ngành: 7320106,Tên ngành: Công nghệ truyền thông,Tổ hợp môn:,NV1: 650.00
5,Mã ngành: 7320108,Tên ngành: Quan hệ công chúng,Tổ hợp môn:,NV1: 650.00
6,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 600.00
7,Mã ngành: 7340115,Tên ngành: Marketing,Tổ hợp môn:,NV1: 650.00
8,Mã ngành: 7340120,Tên ngành: Kinh doanh quốc tế,Tổ hợp môn:,NV1: 700.00
9,Mã ngành: 7340122,Tên ngành: Thương mại điện tử,Tổ hợp môn:,NV1: 650.00
10,Mã ngành: 7340201,Tên ngành: Tài chính,Tổ hợp môn:,NV1: 600.00
11,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 600.00
12,Mã ngành: 7340404,Tên ngành: Quản trị nhân lực,Tổ hợp môn:,NV1: 650.00
13,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn:,NV1: 600.00
14,Mã ngành: 7380107,Tên ngành: Luật kinh tế,Tổ hợp môn:,NV1: 650.00
15,Mã ngành: 7380108,Tên ngành: Luật quốc tế,Tổ hợp môn:,NV1: 700.00
16,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 650.00
17,Mã ngành: 7510605,Tên ngành: Logistics và quản lý chuỗi cung ứng,Tổ hợp môn:,NV1: 600.00
18,Mã ngành: 7810103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,Tổ hợp môn:,NV1: 650.00
19,Mã ngành: 7810201,Tên ngành: Quản trị khách sạn,Tổ hợp môn:,NV1: 650.00
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
