,0,1,2,3
0,Mã ngành: 7210403,Tên ngành: - Thiết kế đồ họa:,Tổ hợp môn:,NV1: 19.00
1,Mã ngành: 7210405,Tên ngành: - Thiết kế nội thất,Tổ hợp môn:,NV1: 18.00
2,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 20.00
3,Mã ngành: 7220204,Tên ngành: Ngôn ngữ Trung Quốc,Tổ hợp môn:,NV1: 15.00
4,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 15.00
5,Mã ngành: 7340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 15.00
6,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 15.00
7,Mã ngành: 7580102,Tên ngành: - Kiến trúc,Tổ hợp môn:,NV1: 19.00
8,Mã ngành: 7580105,Tên ngành: Quy hoạch Vùng và đô thị,Tổ hợp môn:,NV1: 18.00
9,Mã ngành: 7580201,Tên ngành: - Kỹ thuật công trình xây dựng(Xây dựng Dân dụng và Công nghiệp),Tổ hợp môn:,NV1: 15.00
10,Mã ngành: 7580205,Tên ngành: - Kỹ thuật xây dựng công trình giao thông (Xây dựng Cầu - Đường),Tổ hợp môn:,NV1: 15.00
11,Mã ngành: 7580208,Tên ngành: - Kỹ thuật xây dựng,Tổ hợp môn:,NV1: 15.00
12,Mã ngành: 7580302,Tên ngành: - Quản lý Xây dựng,Tổ hợp môn:,NV1: 15.00
13,Mã ngành: C340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 12.00
14,Mã ngành: C340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 12.00
15,Mã ngành: C340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 12.00
16,Mã ngành: C510102,Tên ngành: Công nghệ kỹ thuật công trình xây dựng (Xây dựng Dân dụng & Công nghiệp và Xây dựng Cầu - Đường),Tổ hợp môn:,NV1: 12.00
17,,,,
18,,,,
