,0,1,2,3
0,Mã ngành: 7210402,Tên ngành: Thiết kế công nghiệp,Tổ hợp môn:,NV1: 20.50
1,Mã ngành: 7210403,Tên ngành: Thiết kế đồ hoạ,Tổ hợp môn:,NV1: 21.50
2,Mã ngành: 7210403,Tên ngành: Thiết kế đồ hoạ,Tổ hợp môn:,NV1: 16.00
3,Mã ngành: 7210404,Tên ngành: Thiết kế thời trang,Tổ hợp môn:,NV1: 20.50
4,Mã ngành: 7210405,Tên ngành: Thiết kế nội thất (tại Cần Thơ),Tổ hợp môn:,NV1: 20.00
5,Mã ngành: 7210405,Tên ngành: Thiết kế nội thất,Tổ hợp môn:,NV1: 15.50
6,Mã ngành: 7580102,Tên ngành: Kiến trúc,Tổ hợp môn:,NV1: 17.50
7,Mã ngành: 7580102,Tên ngành: Kiến trúc,Tổ hợp môn:,NV1: 21.00
8,Mã ngành: 7580102,Tên ngành: Kiến trúc,Tổ hợp môn:,NV1: 16.00
9,Mã ngành: 7580105,Tên ngành: Quy hoạch vùng và đô thị,Tổ hợp môn:,NV1: 20.50
10,Mã ngành: 7580105,Tên ngành: Quy hoạch vùng và đô thị,Tổ hợp môn:,NV1: 20.00
11,Mã ngành: 7580110,Tên ngành: Kiến trúc cảnh quan,Tổ hợp môn:,NV1: 20.00
12,Mã ngành: 7580208,Tên ngành: Kỹ thuật xây dựng ( Tại Đà Lạt),Tổ hợp môn:,NV1: 14.00
13,Mã ngành: 7580208,Tên ngành: Kĩ thuật xây dựng,Tổ hợp môn:,NV1: 15.00
14,Mã ngành: 7580208,Tên ngành: Kĩ thuật xây dựng,Tổ hợp môn:,NV1: 15.00
15,Mã ngành: 7580211,Tên ngành: Kĩ thuật đô thị,Tổ hợp môn:,NV1: 15.00
16,,,,
