,0,1,2,3
0,Mã ngành: 101,Tên ngành: Bảo hộ Lao động,Tổ hợp môn:,NV1: 15.00
1,Mã ngành: 402,Tên ngành: Quản trị Kinh doanh,Tổ hợp môn:,NV1: 15.00
2,Mã ngành: 403,Tên ngành: Quản trị Kinh doanh,Tổ hợp môn:,NV1: 16.50
3,Mã ngành: 404,Tên ngành: Quản trị nhân lực,Tổ hợp môn:,NV1: 15.00
4,Mã ngành: 405,Tên ngành: Quản trị nhân lực,Tổ hợp môn:,NV1: 16.50
5,Mã ngành: 406,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 16.50
6,Mã ngành: 407,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 17.00
7,Mã ngành: 408,Tên ngành: Tài chính Ngân hàng,Tổ hợp môn:,NV1: 17.00
8,Mã ngành: 409,Tên ngành: Tài chính Ngân hàng,Tổ hợp môn:,NV1: 17.50
9,Mã ngành: 501,Tên ngành: Xã hội học,Tổ hợp môn:,NV1: 17.00
10,Mã ngành: 502,Tên ngành: Công tác xã hội,Tổ hợp môn:,NV1: 17.00
11,Mã ngành: 503,Tên ngành: Xã hội học,Tổ hợp môn:,NV1: 16.50
12,Mã ngành: 504,Tên ngành: Công tác xã hội,Tổ hợp môn:,NV1: 16.50
13,Mã ngành: 505,Tên ngành: Luật,Tổ hợp môn:,NV1: 18.50
14,Mã ngành: 506,Tên ngành: Luật,Tổ hợp môn:,NV1: 16.50
