,0,1,2,3
0,Mã ngành: 7110101,Tên ngành: Luật thương mại quốc tế,Tổ hợp môn: A01,NV1: 26.25
1,Mã ngành: 7110101,Tên ngành: Luật thương mại quốc tế,Tổ hợp môn: D01,NV1: 25.25
2,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh (chuyên ngành Tiếng Anh pháp lý),Tổ hợp môn: D01,NV1: 24.00
3,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh (chuyên ngành Tiếng Anh pháp lý),Tổ hợp môn: A01,NV1: 24.50
4,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: D01,NV1: 23.50
5,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: C00,NV1: 27.50
6,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: A00,NV1: 24.00
7,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: A01,NV1: 24.50
8,Mã ngành: 7380107,Tên ngành: Luật kinh tế,Tổ hợp môn: D01,NV1: 25.75
9,Mã ngành: 7380107,Tên ngành: Luật kinh tế,Tổ hợp môn: C00,NV1: 28.75
10,Mã ngành: 7380107,Tên ngành: Luật kinh tế,Tổ hợp môn: A00,NV1: 27.00
11,Mã ngành: 7380107,Tên ngành: Luật kinh tế,Tổ hợp môn: A01,NV1: 26.75
