,0,1,2,3
0,Mã ngành: 7220201,Tên ngành: Ngôn Ngữ Anh,Tổ hợp môn: D66,NV1: 23.00
1,Mã ngành: 7220201,Tên ngành: Ngôn Ngữ Anh,Tổ hợp môn: D01,NV1: 20.00
2,Mã ngành: 7220201,Tên ngành: Ngôn Ngữ Anh,"Tổ hợp môn: D14, D84",NV1: 22.00
3,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00, A01, D01, D03, D06, D84, D87, D88",NV1: 19.00
4,Mã ngành: 7340102,Tên ngành: Quản trị - Luật,Tổ hợp môn: A00,NV1: 21.00
5,Mã ngành: 7340102,Tên ngành: Quản trị - Luật,"Tổ hợp môn: D84, D87, D88",NV1: 21.50
6,Mã ngành: 7340102,Tên ngành: Quản trị - Luật,"Tổ hợp môn: A01, D01, D03, D06",NV1: 20.50
7,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn: C00,NV1: 23.00
8,Mã ngành: 7380101,Tên ngành: Luật,"Tổ hợp môn: A00, A01, D01, D03, D06",NV1: 19.50
9,Mã ngành: 7380109,Tên ngành: Luật Thương mại Quốc tế,Tổ hợp môn: D66,NV1: 24.50
10,Mã ngành: 7380109,Tên ngành: Luật Thương mại Quốc tế,Tổ hợp môn: D01,NV1: 23.00
11,Mã ngành: 7380109,Tên ngành: Luật Thương mại Quốc tế,"Tổ hợp môn: A01, D84",NV1: 22.50
12,Mã ngành: 7380109,Tên ngành: Luật Thương mại Quốc tế,"Tổ hợp môn: D03, D06, D69, D70, D87, D88",NV1: 20.00
