,0,1,2,3
0,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,"Tổ hợp môn: A01,D01,D14,D78",NV1: 24.00
1,Mã ngành: 7220204,Tên ngành: Ngôn ngữ Trung Quốc,"Tổ hợp môn: D01,D02,D03,D04,D05,D06,D78,D79,D80,D81,D82,D83",NV1: 20.00
2,Mã ngành: 7220209,Tên ngành: Ngôn ngữ Nhật,"Tổ hợp môn: D01,D02,D03,D04,D05,D06,D78,D79,D80,D81,D82,D83",NV1: 22.00
3,Mã ngành: 7220214,Tên ngành: Đông Nam Á học,"Tổ hợp môn: A01,D01,D02,D03,D04,D05,D06,D15,D41,D42,D43,D44,D45,D78,D79,D80,D81,D82,D83",NV1: 16.00
4,Mã ngành: 7310101,Tên ngành: Kinh tế,"Tổ hợp môn: A00,A01,D01,D07",NV1: 18.00
5,Mã ngành: 7310301,Tên ngành: Xã hội học,"Tổ hợp môn: A01,D01,D02,D03,D04,D05,D06,D15,D41,D42,D43,D44,D45,D78,D79,D80,D81,D82,D83",NV1: 16.00
6,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00,A01,D01,D07",NV1: 19.50
7,Mã ngành: 7340201,Tên ngành: Tài chính Ngân hàng,"Tổ hợp môn: A00,A01,D01,D07",NV1: 18.00
8,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00,A01,D01,D07",NV1: 18.00
9,Mã ngành: 7340405,Tên ngành: Hệ thống thông tin quản lý,"Tổ hợp môn: A00,A01,D01,D07",NV1: 15.00
10,Mã ngành: 7380101,Tên ngành: Luật,"Tổ hợp môn: A00,A01,C00,D01,D03,D05,D06",NV1: 19.00
11,Mã ngành: 7380107,Tên ngành: Luật kinh tế,"Tổ hợp môn: A00,A01,C00,D01,D03,D05,D06",NV1: 20.50
12,Mã ngành: 7420201,Tên ngành: Công nghệ sinh học,"Tổ hợp môn: A00,B00,D01,D07",NV1: 16.00
13,Mã ngành: 7480101,Tên ngành: Khoa học máy tính,"Tổ hợp môn: A00,A01,D01,D07",NV1: 20.00
14,Mã ngành: 7510102,Tên ngành: Công nghệ kỹ thuật công trình xây dựng,"Tổ hợp môn: A00,A01,D01,D07",NV1: 23.25
15,Mã ngành: 7580302,Tên ngành: Quản lý xây dựng,"Tổ hợp môn: A00,A01,D01,D07",NV1: 22.25
16,Mã ngành: 7760101,Tên ngành: Công tác Xã hội,"Tổ hợp môn: A01,D01,D02,D03,D04,D05,D06,D15,D41,D42,D43,D44,D45,D78,D79,D80,D81,D82,D83",NV1: 15.00
17,,,,
18,,,,
