,0,1,2,3
0,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00, A01, D01, D07",NV1: 23.30
1,Mã ngành: 7340201,Tên ngành: Tài chính - ngân hàng,"Tổ hợp môn: A00, A01, D01, D07",NV1: 21.50
2,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00, A01, D01, D07",NV1: 22.50
3,Mã ngành: 7440201,Tên ngành: Địa chất học,"Tổ hợp môn: A00, A01, A04, A06",NV1: 18.00
4,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,"Tổ hợp môn: A00, A01, C01, D01",NV1: 25.90
5,Mã ngành: 7510401,Tên ngành: Công nghệ kỹ thuật hóa học,"Tổ hợp môn: A00, A01, D07",NV1: 20.70
6,Mã ngành: 7520103,Tên ngành: Kỹ thuật cơ khí,"Tổ hợp môn: A00, A01",NV1: 18.00
7,Mã ngành: 7520201,Tên ngành: Kỹ thuật điện,"Tổ hợp môn: A00, A01",NV1: 18.00
8,Mã ngành: 7520216,Tên ngành: Kỹ thuật điều khiển và tự động hóa,"Tổ hợp môn: A00, A01, D07",NV1: 24.10
9,Mã ngành: 7520320,Tên ngành: Kỹ thuật môi trường,"Tổ hợp môn: A00, A01, B00",NV1: 18.00
