,0,1,2,3
0,Mã ngành: 7210402,"Tên ngành: Thiết kế công nghiệp( Thiết kế nội thất, Thiết kế thời trang, Thiết kế đồ họa)",Tổ hợp môn:,NV1: 20.50
1,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 29.33
2,Mã ngành: 7220204,Tên ngành: Ngôn ngữ Trung Quốc,Tổ hợp môn:,NV1: 28.75
3,Mã ngành: 7340101,Tên ngành: Quàn trị kinh doanh,Tổ hợp môn:,NV1: 21.25
4,Mã ngành: 7340201,Tên ngành: Tài chính – Ngân hàng,Tổ hợp môn:,NV1: 20.00
5,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 21.00
6,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn:,NV1: 19.75
7,Mã ngành: 7380107,Tên ngành: Luật kinh tế,Tổ hợp môn:,NV1: 20.50
8,Mã ngành: 7380108,Tên ngành: Luật quốc tế,Tổ hợp môn:,NV1: 19.25
9,Mã ngành: 7420201,Tên ngành: Công nghệ sinh học,Tổ hợp môn:,NV1: 15.50
10,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 20.50
11,Mã ngành: 7510302,"Tên ngành: Công nghệ kỹ thuật điện tử, truyền thông",Tổ hợp môn:,NV1: 20.25
12,Mã ngành: 7580102,Tên ngành: Kiến trúc,Tổ hợp môn:,NV1: 21.75
