,0,1,2,3
0,Mã ngành: 7110104,Tên ngành: Công nghệ Kĩ thuật công trình xây dựng,Tổ hợp môn:,NV1: 15.00
1,Mã ngành: 7580102,Tên ngành: Kiến trúc,Tổ hợp môn:,NV1: 15.00
2,Mã ngành: 7580105,Tên ngành: Quy hoạch vùng và đô thị,Tổ hợp môn:,NV1: 15.00
3,Mã ngành: 7580201,Tên ngành: Kĩ thuật công trình xây dựng,Tổ hợp môn:,NV1: 15.00
4,Mã ngành: 7580205,Tên ngành: Kĩ thuật xây dựng công trình giao thông,Tổ hợp môn:,NV1: 15.00
5,Mã ngành: 7580302,Tên ngành: Quản lí xây dựng,Tổ hợp môn:,NV1: 15.00
6,Mã ngành: C340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 12.00
7,Mã ngành: C510101,Tên ngành: Công nghệ kĩ thuật kiến trúc,Tổ hợp môn:,NV1: 12.00
8,Mã ngành: C510102,Tên ngành: Công nghệ kĩ thuật xây dựng,Tổ hợp môn:,NV1: 12.00
9,Mã ngành: C510104,Tên ngành: Công nghệ kĩ thuật giao thông,Tổ hợp môn:,NV1: 12.00
10,Mã ngành: C510405,Tên ngành: Công nghệ kĩ thuật tài nguyên nước,Tổ hợp môn:,NV1: 12.00
