,0,1,2,3
0,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,"Tổ hợp môn: D01, D96",NV1: 20.20
1,Mã ngành: 7310106,Tên ngành: Kinh tế quốc tế,"Tổ hợp môn: A00, A01, D01, D90",NV1: 20.60
2,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00, A01, D01, D90",NV1: 20.00
3,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00, A01, D01, D90",NV1: 18.00
4,Mã ngành: 7340201,Tên ngành: Tài chính - Ngân hàng,"Tổ hợp môn: A00, A01, D01, D90",NV1: 18.00
5,Mã ngành: 7340201,Tên ngành: Tài chính - Ngân hàng,"Tổ hợp môn: A00, A01, D01, D90",NV1: 19.10
6,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00, A01, D01, D90",NV1: 18.00
7,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00, A01, D01, D90",NV1: 19.50
8,Mã ngành: 7340405,Tên ngành: Hệ thống thông tin quản lí,"Tổ hợp môn: A00, A01, D10, D90",NV1: 18.60
9,Mã ngành: 7380107,Tên ngành: Luật kinh tế,"Tổ hợp môn: D01, D96",NV1: 18.70
