,0,1,2,3
0,Mã ngành: 7140215,Tên ngành: Sư phạm kỹ thuật nông nghiệp,Tổ hợp môn:,NV1: 19.25
1,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh (*),Tổ hợp môn:,NV1: 22.75
2,Mã ngành: 7310101,Tên ngành: Kinh tế,Tổ hợp môn:,NV1: 20.25
3,Mã ngành: 7310106,Tên ngành: Thương mại quốc tế (LKQT),Tổ hợp môn:,NV1: 20.75
4,Mã ngành: 7310502,Tên ngành: Bản đồ học,Tổ hợp môn:,NV1: 23.50
5,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 21.50
6,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh CLC,Tổ hợp môn:,NV1: 18.00
7,Mã ngành: 7340120,Tên ngành: Kinh doanh quốc tế (LKQT),Tổ hợp môn:,NV1: 20.75
8,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 21.50
9,Mã ngành: 7420201,Tên ngành: Công nghệ sinh học,Tổ hợp môn:,NV1: 23.75
10,Mã ngành: 7420201,Tên ngành: Công nghệ sinh học (LKQT),Tổ hợp môn:,NV1: 17.00
11,Mã ngành: 7420201,Tên ngành: Công nghệ sinh học CLC,Tổ hợp môn:,NV1: 20.50
12,Mã ngành: 7440301,Tên ngành: Khoa học môi trường,Tổ hợp môn:,NV1: 18.25
13,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 21.00
14,Mã ngành: 7510201,Tên ngành: Công nghệ kỹ thuật cơ khí CLC,Tổ hợp môn:,NV1: 18.00
15,Mã ngành: 7510201,Tên ngành: Công nghệ kỹ thuật cơ khí,Tổ hợp môn:,NV1: 21.00
16,Mã ngành: 7510203,Tên ngành: Công nghệ kỹ thuật cơ điện tử,Tổ hợp môn:,NV1: 21.25
17,Mã ngành: 7510205,Tên ngành: Công nghệ kỹ thuật ô tô,Tổ hợp môn:,NV1: 22.25
18,Mã ngành: 7510206,Tên ngành: Công nghệ kỹ thuật nhiệt,Tổ hợp môn:,NV1: 18.50
19,Mã ngành: 7510401,Tên ngành: Công nghệ kỹ thuật hóa học,Tổ hợp môn:,NV1: 22.50
20,Mã ngành: 7520216,Tên ngành: Kỹ thuật điều khiển và tự động hóa,Tổ hợp môn:,NV1: 21.00
21,Mã ngành: 7520320,Tên ngành: Kỹ thuật môi trường,Tổ hợp môn:,NV1: 23.50
22,Mã ngành: 7520320,Tên ngành: Kỹ thuật môi trường,Tổ hợp môn:,NV1: 19.00
23,Mã ngành: 7540102,Tên ngành: Công nghệ thực phẩm,Tổ hợp môn:,NV1: 23.00
24,Mã ngành: 7540102,Tên ngành: Công nghệ thực phẩm CLC,Tổ hợp môn:,NV1: 20.00
25,Mã ngành: 7540102,Tên ngành: Công nghệ thực phẩm CTTT,Tổ hợp môn:,NV1: 20.00
26,Mã ngành: 7540105,Tên ngành: Công nghệ chế biến,Tổ hợp môn:,NV1: 21.00
27,Mã ngành: 7540301,Tên ngành: Công nghệ chế biến lâm sản,Tổ hợp môn:,NV1: 17.00
28,Mã ngành: 7620105,Tên ngành: Chăn nuôi,Tổ hợp môn:,NV1: 20.25
29,Mã ngành: 7620109,Tên ngành: Nông học,Tổ hợp môn:,NV1: 21.50
30,Mã ngành: 7620112,Tên ngành: Bảo vệ thực vật,Tổ hợp môn:,NV1: 21.50
31,Mã ngành: 7620113,Tên ngành: Công nghệ rau hoa quả và cảnh quan,Tổ hợp môn:,NV1: 18.25
32,Mã ngành: 7620114,Tên ngành: Quản lý và kinh doanh (LKQT),Tổ hợp môn:,NV1: 19.00
33,Mã ngành: 7620114,Tên ngành: Kinh doanh nông nghiệp,Tổ hợp môn:,NV1: 19.00
34,Mã ngành: 7620116,Tên ngành: Phát triển nông thôn,Tổ hợp môn:,NV1: 18.00
35,Mã ngành: 7620201,Tên ngành: Lâm nghiệp,Tổ hợp môn:,NV1: 17.00
36,Mã ngành: 7620211,Tên ngành: Quản lý tài nguyên rừng,Tổ hợp môn:,NV1: 17.00
37,Mã ngành: 7620301,Tên ngành: Nuôi trồng thủy sản,Tổ hợp môn:,NV1: 18.50
38,Mã ngành: 7640101,Tên ngành: Thú y,Tổ hợp môn:,NV1: 23.75
39,Mã ngành: 7640101,Tên ngành: Thú y,Tổ hợp môn:,NV1: 23.75
40,Mã ngành: 7850101,Tên ngành: Quản lí tài nguyên và môi trường,Tổ hợp môn:,NV1: 18.75
41,Mã ngành: 7850103,Tên ngành: Quản lý đất đai,Tổ hợp môn:,NV1: 18.00
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
