,0,1,2,3
0,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh nam phía Nam,Tổ hợp môn:,NV1: 25.65
1,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh nam phía Nam,Tổ hợp môn:,NV1: 17.54
2,Mã ngành: 7220202,Tên ngành: Ngôn ngữ Nga(nữ),Tổ hợp môn:,NV1: 25.71
3,Mã ngành: 7220202,Tên ngành: Ngôn ngữ Nga(nữ),Tổ hợp môn:,NV1: 20.23
4,Mã ngành: 7220204,Tên ngành: Ngôn ngữ Trung Quốc (Nam - D04),Tổ hợp môn:,NV1: 25.55
5,Mã ngành: 7220204,Tên ngành: Ngôn ngữ Trung Quốc (Nam - D04),Tổ hợp môn:,NV1: 20.73
6,Mã ngành: 7310206,Tên ngành: Quan hệ Quốc tế(nữ),Tổ hợp môn:,NV1: 26.14
7,Mã ngành: 7310206,Tên ngành: Quan hệ Quốc tế(nữ),Tổ hợp môn:,NV1: 22.65
8,Mã ngành: 7860231,Tên ngành: Trinh sát kỹ thuật,Tổ hợp môn:,NV1: 17.65
9,Mã ngành: 7860231,Tên ngành: Trinh sát kỹ thuật,Tổ hợp môn:,NV1: 23.85
