,0,1,2,3
0,Mã ngành: 7220201,Tên ngành: Tiếng Anh thương mại,Tổ hợp môn:,NV1: 30.00
1,Mã ngành: 7220203,Tên ngành: Tiếng Pháp thương mại,Tổ hợp môn:,NV1: 29.00
2,Mã ngành: 7220204,Tên ngành: Tiếng Trung thương mại,Tổ hợp môn:,NV1: 29.00
3,Mã ngành: 7220209,Tên ngành: Tiếng Nhật thương mại,Tổ hợp môn:,NV1: 29.00
4,Mã ngành: 7310101,Tên ngành: Thương mại quốc tế,Tổ hợp môn:,NV1: 23.50
5,Mã ngành: 7310101,Tên ngành: Thương mại quốc tế,Tổ hợp môn:,NV1: 23.00
6,Mã ngành: 7310101,Tên ngành: Thương mại quốc tế,Tổ hợp môn:,NV1: 24.50
7,Mã ngành: 7310101,Tên ngành: Kinh tế đối ngoại (Chương trình chất lượng cao giảng dạy bằng tiếng Việt),Tổ hợp môn:,NV1: 22.00
8,Mã ngành: 7310101,Tên ngành: Kinh tế đối ngoại (Chương trình chất lượng cao giảng dạy bằng tiếng Việt),Tổ hợp môn:,NV1: 23.00
9,Mã ngành: 7310101,Tên ngành: Kinh tế đối ngoại,Tổ hợp môn:,NV1: 24.00
10,Mã ngành: 7310101,Tên ngành: Kinh tế đối ngoại,Tổ hợp môn:,NV1: 24.50
11,Mã ngành: 7310101,Tên ngành: Kinh tế đối ngoại,Tổ hợp môn:,NV1: 24.00
12,Mã ngành: 7310101,Tên ngành: Kinh tế đối ngoại,Tổ hợp môn:,NV1: 26.50
13,Mã ngành: 7310106,Tên ngành: Kinh tế và phát triển quốc tế,Tổ hợp môn:,NV1: 23.50
14,Mã ngành: 7310106,Tên ngành: Kinh tế và phát triển quốc tế,Tổ hợp môn:,NV1: 23.00
15,Mã ngành: 7310106,Tên ngành: Kinh tế và phát triển quốc tế,Tổ hợp môn:,NV1: 24.50
16,Mã ngành: 7310106,Tên ngành: Kinh tế quốc tế,Tổ hợp môn:,NV1: 24.00
17,Mã ngành: 7310106,Tên ngành: Kinh tế quốc tế,Tổ hợp môn:,NV1: 26.00
18,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh quốc tế (Chương trình chất lượng cao giảng dạy bằng tiếng Việt),Tổ hợp môn:,NV1: 23.00
