,0,1,2,3
0,Mã ngành: CLC10,"Tên ngành: Ngành Quản trị kinh doanh, chuyên ngành Quản trị kinh doanh quốc tế",Tổ hợp môn:,NV1: 24.50
1,Mã ngành: CLC11,"Tên ngành: Ngành Tài chính - Ngân hàng, chuyên ngành Ngân hàng và Tài chính quốc tế",Tổ hợp môn:,NV1: 24.50
2,Mã ngành: CLC8,"Tên ngành: Ngành Kinh tế, chuyên ngành Kinh tế đối ngoại",Tổ hợp môn:,NV1: 24.50
3,Mã ngành: CLC9,"Tên ngành: Ngành Kinh doanh quốc tế, chương trình Logistics và quản lý chuỗi cung ứng định hướng nghề nghiệp quốc tế",Tổ hợp môn:,NV1: 24.50
4,Mã ngành: NTS01,"Tên ngành: Kinh tế, Quản trị kinh doan, Tài chính- Ngân hàng, Kế toán","Tổ hợp môn: A01, D01, D06, D07",NV1: 23.75
5,Mã ngành: NTS01,"Tên ngành: Kinh tế, Quản trị kinh doan, Tài chính- Ngân hàng, Kế toán",Tổ hợp môn: A00,NV1: 24.25
6,Mã ngành: NTS01,"Tên ngành: Kinh tế, Quản trị kinh doan, Tài chính- Ngân hàng, Kế toán",Tổ hợp môn: A00,NV1: 24.25
7,Mã ngành: NTS02,Tên ngành: Tài chính ngân hàng và Kế toán,Tổ hợp môn: A00,NV1: 23.50
8,Mã ngành: NTS02,Tên ngành: Tài chính ngân hàng và Kế toán,Tổ hợp môn: A00,NV1: 23.50
9,Mã ngành: NTS02,Tên ngành: Tài chính ngân hàng và Kế toán,"Tổ hợp môn: A01, D01, D07",NV1: 23.00
