,0,1,2,3
0,Mã ngành: 7210403,Tên ngành: Thiết kế đồ họa,Tổ hợp môn:,NV1: 15.00
1,Mã ngành: 7220113,Tên ngành: Việt Nam học,Tổ hợp môn:,NV1: 15.00
2,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 15.00
3,Mã ngành: 7220204,Tên ngành: Ngôn ngữ Trung Quốc,Tổ hợp môn:,NV1: 15.00
4,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 15.00
5,Mã ngành: 7340107,Tên ngành: Quản trị khách sạn,Tổ hợp môn:,NV1: 15.00
6,Mã ngành: 7340109,Tên ngành: Quản trị nhà hàng và dịch vụ ăn uống,Tổ hợp môn:,NV1: 15.00
7,Mã ngành: 7340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 15.00
8,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 15.00
9,Mã ngành: 7420201,Tên ngành: Công nghệ sinh học,Tổ hợp môn:,NV1: 15.00
10,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 15.00
11,Mã ngành: 7510203,Tên ngành: Công nghệ kĩ thuật cơ điện tử,Tổ hợp môn:,NV1: 15.00
12,Mã ngành: 7510205,Tên ngành: Công nghệ kĩ thuật ô tô,Tổ hợp môn:,NV1: 15.00
13,Mã ngành: 7510401,Tên ngành: Công nghệ kỹ thuật hóa học,Tổ hợp môn:,NV1: 15.00
14,Mã ngành: 7520201,"Tên ngành: Kỹ thuật điện, điện tử",Tổ hợp môn:,NV1: 15.00
15,Mã ngành: 7540101,Tên ngành: Công nghệ thực phẩm,Tổ hợp môn:,NV1: 15.00
16,Mã ngành: 7580208,Tên ngành: Kĩ thuật xây dựng,Tổ hợp môn:,NV1: 15.00
17,Mã ngành: 7720401,Tên ngành: Dược học,Tổ hợp môn:,NV1: 18.75
18,Mã ngành: 7720501,Tên ngành: Điều dưỡng,Tổ hợp môn:,NV1: 15.00
19,Mã ngành: 7850101,Tên ngành: Quản lí tài nguyên và môi trường,Tổ hợp môn:,NV1: 15.00
20,Mã ngành: C210403,Tên ngành: Thiết kế đồ họa,Tổ hợp môn:,NV1: 12.00
21,Mã ngành: C220113,Tên ngành: Việt Nam học,Tổ hợp môn:,NV1: 12.00
22,Mã ngành: C220201,Tên ngành: Tiếng Anh,Tổ hợp môn:,NV1: 12.00
23,Mã ngành: C220204,Tên ngành: Tiếng Trung Quốc,Tổ hợp môn:,NV1: 12.00
24,Mã ngành: C220209,Tên ngành: Tiếng Nhật,Tổ hợp môn:,NV1: 12.00
25,Mã ngành: C220210,Tên ngành: Tiếng Hàn,Tổ hợp môn:,NV1: 12.00
26,Mã ngành: C340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 12.00
27,Mã ngành: C340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 12.00
28,Mã ngành: C340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 12.00
29,Mã ngành: C340407,Tên ngành: Thư ký văn phòng,Tổ hợp môn:,NV1: 12.00
30,Mã ngành: C420201,Tên ngành: Công nghệ sinh học,Tổ hợp môn:,NV1: 12.00
31,Mã ngành: C480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 12.00
32,Mã ngành: C510103,Tên ngành: Công nghệ kĩ thuật xây dựng,Tổ hợp môn:,NV1: 12.00
33,Mã ngành: C510203,Tên ngành: Công nghệ kĩ thuật cơ điện tử,Tổ hợp môn:,NV1: 12.00
34,Mã ngành: C510205,Tên ngành: Công nghệ kĩ thuật ô tô,Tổ hợp môn:,NV1: 12.00
35,Mã ngành: C510301,"Tên ngành: Công nghệ kĩ thuật điện, điện tử",Tổ hợp môn:,NV1: 12.00
36,Mã ngành: C510401,Tên ngành: Công nghệ kĩ thuật hóa học,Tổ hợp môn:,NV1: 12.00
37,Mã ngành: C540102,Tên ngành: Công nghệ thực phẩm,Tổ hợp môn:,NV1: 12.00
38,Mã ngành: C540204,Tên ngành: Công nghệ may,Tổ hợp môn:,NV1: 12.00
39,Mã ngành: C720330,Tên ngành: Kĩ thuật hình ảnh y học,Tổ hợp môn:,NV1: 12.00
40,Mã ngành: C720501,Tên ngành: Điều dưỡng,Tổ hợp môn:,NV1: 12.00
41,Mã ngành: C900107,Tên ngành: Dược,Tổ hợp môn:,NV1: 12.00
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
