,0,1,2,3
0,Mã ngành: 7210403,Tên ngành: Thiết kế đồ họa,"Tổ hợp môn: C01, C03, C04, C09",NV1: 14.00
1,Mã ngành: 7210403,Tên ngành: Thiết kế đồ họa,"Tổ hợp môn: C01, C03, C04, C09",NV1: 18.00
2,Mã ngành: 7220209,Tên ngành: Ngôn ngữ Nhật,"Tổ hợp môn: A01, C00, D01, D63",NV1: 14.00
3,Mã ngành: 7220209,Tên ngành: Ngôn ngữ Nhật,"Tổ hợp môn: A01, C00, D01, D63",NV1: 14.00
4,Mã ngành: 7220209,Tên ngành: Ngôn ngữ Nhật,"Tổ hợp môn: A01, C00, D01, D63",NV1: 18.00
5,Mã ngành: 7220209,Tên ngành: Ngôn ngữ Nhật,"Tổ hợp môn: A01, C00, D01, D63",NV1: 14.00
6,Mã ngành: 7220209,Tên ngành: Ngôn ngữ Nhật,"Tổ hợp môn: A01, C00, D01, D63",NV1: 18.00
7,Mã ngành: 7220209,Tên ngành: Ngôn ngữ Nhật,"Tổ hợp môn: A01, C00, D01, D63",NV1: 14.00
8,Mã ngành: 7220209,Tên ngành: Ngôn ngữ Nhật,"Tổ hợp môn: A01, C00, D01, D63",NV1: 18.00
9,Mã ngành: 7220209,Tên ngành: Ngôn ngữ Nhật,"Tổ hợp môn: A01, C00, D01, D63",NV1: 18.00
10,Mã ngành: 7320108,Tên ngành: Quan hệ công chúng,"Tổ hợp môn: C12, C19, C00, D01",NV1: 14.00
11,Mã ngành: 7320108,Tên ngành: Quan hệ công chúng,"Tổ hợp môn: C12, C19, C00, D01",NV1: 18.00
12,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00, D01, A07, C04",NV1: 14.00
13,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00, D01, A07, C04",NV1: 18.00
14,Mã ngành: 7340201,Tên ngành: Tài chính - Ngân hàng,"Tổ hợp môn: A00, D01, A07, C04",NV1: 14.00
15,Mã ngành: 7340201,Tên ngành: Tài chính - Ngân hàng,"Tổ hợp môn: A00, D01, A07, C04",NV1: 18.00
16,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00, D01, A07, C04",NV1: 14.00
17,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00, D01, A07, C04",NV1: 18.00
18,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,"Tổ hợp môn: A01, A00, D01, A07",NV1: 14.00
19,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,"Tổ hợp môn: A01, A00, D01, A07",NV1: 18.00
20,Mã ngành: 7510102,Tên ngành: Công nghệ kỹ thuật công trình xây dựng,"Tổ hợp môn: A00, C01, C04, A07",NV1: 14.00
21,Mã ngành: 7510102,Tên ngành: Công nghệ kỹ thuật công trình xây dựng,"Tổ hợp môn: A00, C01, C04, A07",NV1: 18.00
22,Mã ngành: 7520320,Tên ngành: Kỹ thuật môi trường,"Tổ hợp môn: B00, B01, B02, B03",NV1: 14.00
23,Mã ngành: 7520320,Tên ngành: Kỹ thuật môi trường,"Tổ hợp môn: B00, B01, B02, B03",NV1: 18.00
24,Mã ngành: 7580101,Tên ngành: Kiến trúc,"Tổ hợp môn: A00, A01, A03, A07",NV1: 14.00
25,Mã ngành: 7580101,Tên ngành: Kiến trúc,"Tổ hợp môn: A00, A01, A03, A07",NV1: 18.00
26,Mã ngành: 7580108,Tên ngành: Thiết kế nội thất,"Tổ hợp môn: C01, C03, C04, C09",NV1: 14.00
27,Mã ngành: 7580108,Tên ngành: Thiết kế nội thất,"Tổ hợp môn: C01, C03, C04, C09",NV1: 18.00
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
