,0,1,2,3
0,Mã ngành: 7210201,Tên ngành: Âm nhạc học VB2 (2 năm),Tổ hợp môn:,NV1: 21.00
1,Mã ngành: 7210201,Tên ngành: Âm nhạc học (4 năm),Tổ hợp môn:,NV1: 21.00
2,Mã ngành: 7210203,Tên ngành: Sáng tác âm nhạc VB2 (2 năm),Tổ hợp môn:,NV1: 21.00
3,Mã ngành: 7210203,Tên ngành: Sáng tác âm nhạc (4 năm),Tổ hợp môn:,NV1: 21.00
4,Mã ngành: 7210204,Tên ngành: Chỉ huy âm nhạc (4 năm): Chỉ huy Hợp xướng; Chỉ huy Dàn nhạc,Tổ hợp môn:,NV1: 21.00
5,Mã ngành: 7210204,Tên ngành: Chỉ huy âm nhạc VB2 (2 năm): Chỉ huy Hợp xướng; Chỉ huy Dàn nhạc,Tổ hợp môn:,NV1: 21.00
6,Mã ngành: 7210205,Tên ngành: Thanh nhạc (4 năm),Tổ hợp môn:,NV1: 20.00
7,Mã ngành: 7210207,"Tên ngành: Biểu diễn nhạc cụ phương Tây (4 năm): Violon, Violon Alto, Violoncelle, Contrebasse; Harpe, Flûte, Tuba, Hautbois, Clarinette, Basson, Cor, Trompette, Trombone, Gõ giao hưởng, Accordéon, Guitare, Saxophone, Gõ nhạc nhẹ, Orgue điện tử, Piano nhạc nhẹ, Orgue điện tử, Piano nhạc nhẹ, Guitare nhạc nhẹ.",Tổ hợp môn:,NV1: 21.00
8,Mã ngành: 7210208,Tên ngành: Piano (4 năm),Tổ hợp môn:,NV1: 21.00
9,Mã ngành: 7210210,"Tên ngành: Biểu diễn nhạc cụ truyền thống (4 năm): Sáo trúc, Tranh, Bầu, Nguyệt, Tỳ bà, Ghi-ta phím lốm, Nhị, Tam Thập lục.",Tổ hợp môn:,NV1: 21.00
