,0,1,2,3
0,Mã ngành: 701,Tên ngành: Tiếng Anh phiên dịch,Tổ hợp môn:,NV1: 27.00
1,Mã ngành: 702,Tên ngành: Tiếng Nga,Tổ hợp môn:,NV1: 24.00
2,Mã ngành: 703,Tên ngành: Tiếng Pháp phiên dịch,Tổ hợp môn:,NV1: 24.00
3,Mã ngành: 704,Tên ngành: Tiếng Trung,Tổ hợp môn:,NV1: 24.50
4,Mã ngành: 705,Tên ngành: Tiếng Đức,Tổ hợp môn:,NV1: 24.00
5,Mã ngành: 706,Tên ngành: Tiếng Nhật,Tổ hợp môn:,NV1: 24.50
6,Mã ngành: 707,Tên ngành: Tiếng Hàn Quốc,Tổ hợp môn:,NV1: 24.00
7,Mã ngành: 711,Tên ngành: Sư phạm tiếng anh,Tổ hợp môn:,NV1: 26.00
8,Mã ngành: 712,Tên ngành: Sư phạm tiếng nga,Tổ hợp môn:,NV1: 24.00
9,Mã ngành: 713,Tên ngành: Sư Phạm tiếng Pháp,Tổ hợp môn:,NV1: 24.00
10,Mã ngành: 714,Tên ngành: Sư phạm Tiếng Trung,Tổ hợp môn:,NV1: 24.50
11,Mã ngành: 716,Tên ngành: Sư phạm Tiếng Nhật,Tổ hợp môn:,NV1: 24.50
12,Mã ngành: 721,Tên ngành: Tiếng Anh,Tổ hợp môn:,NV1: 27.00
13,Mã ngành: 731,Tên ngành: Tiếng Anh Quản trị kinh doanh,Tổ hợp môn:,NV1: 26.00
14,Mã ngành: 741,Tên ngành: Tiếng Anh Tài chính ngân hàng,Tổ hợp môn:,NV1: 27.00
