,0,1,2,3
0,Mã ngành: 7480101,Tên ngành: Khoa học máy tính,Tổ hợp môn:,NV1: 26.00
1,Mã ngành: 7480101CLC,Tên ngành: Khoa học Máy tính (CLC),Tổ hợp môn:,NV1: 24.00
2,Mã ngành: 7480102,Tên ngành: Truyền thông và mạng máy tính,Tổ hợp môn:,NV1: 26.00
3,Mã ngành: 7480104,Tên ngành: Hệ thống thông tin,Tổ hợp môn:,NV1: 26.00
4,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 26.00
5,Mã ngành: 7480201NB,Tên ngành: Công nghệ Thông tin định hướng thị trường Nhật Bản,Tổ hợp môn:,NV1: 26.00
6,Mã ngành: 7510203,Tên ngành: Công nghệ kỹ thuật cơ điện tử,Tổ hợp môn:,NV1: 23.50
7,Mã ngành: 7510302,"Tên ngành: Công nghệ kỹ thuật điện tử, truyền thông",Tổ hợp môn:,NV1: 26.00
8,Mã ngành: 7510302CLC,"Tên ngành: Công nghệ kỹ thuật điện tử, truyền thông (CLC)",Tổ hợp môn:,NV1: 21.00
9,Mã ngành: 7520101,Tên ngành: Cơ kỹ thuật,Tổ hợp môn:,NV1: 23.50
10,Mã ngành: 7520214,Tên ngành: Kỹ thuật máy tính,Tổ hợp môn:,NV1: 26.00
11,Mã ngành: 7520401,Tên ngành: Vật lý kỹ thuật,Tổ hợp môn:,NV1: 19.00
12,Mã ngành: QHITD1,Tên ngành: Kỹ thuật năng lượng,Tổ hợp môn:,NV1: 19.00
13,Mã ngành: QHITD2,Tên ngành: Công nghệ kỹ thuật Xây dựng-Giao thông,Tổ hợp môn:,NV1: 23.50
