,0,1,2,3
0,Mã ngành: 0,Tên ngành: Khoa học quản lý (chuyên ngành: Kế toán) do ĐH Keuka (Mỹ) cấp bằng Anh:iGHN cấp),Tổ hợp môn:,NV1: 13.50
1,Mã ngành: 0,Tên ngành: Khoa học quản lý (chuyên ngành: Kế toán) do ĐH Keuka (Mỹ) cấp bằng Anh:iGHN cấp),Tổ hợp môn:,NV1: 14.50
2,Mã ngành: 0,Tên ngành: Khoa học quản lý (chuyên ngành: Kế toán) do ĐH Keuka (Mỹ) cấp bằng Anh:iGHN cấp),Tổ hợp môn:,NV1: 14.00
3,Mã ngành: 0,Tên ngành: Kinh doanh quốc tế,Tổ hợp môn:,NV1: 16.00
4,Mã ngành: 0,Tên ngành: Khoa học quản lý (chuyên ngành: Kế toán) do ĐH Keuka (Mỹ) cấp bằng Anh:iGHN cấp),Tổ hợp môn:,NV1: 13.00
5,Mã ngành: 0,"Tên ngành: Kế toán (honours) - do ĐH HELP (Malaysia), hoặc/và một trường đại học Anh, Úc cấp bằng",Tổ hợp môn:,NV1: 13.50
6,Mã ngành: 0,"Tên ngành: Kế toán (honours) - do ĐH HELP (Malaysia), hoặc/và một trường đại học Anh, Úc cấp bằng",Tổ hợp môn:,NV1: 14.50
7,Mã ngành: 0,"Tên ngành: Kế toán (honours) - do ĐH HELP (Malaysia), hoặc/và một trường đại học Anh, Úc cấp bằng",Tổ hợp môn:,NV1: 14.00
8,Mã ngành: 0,"Tên ngành: Kế toán (honours) - do ĐH HELP (Malaysia), hoặc/và một trường đại học Anh, Úc cấp bằng",Tổ hợp môn:,NV1: 13.00
9,Mã ngành: 0,"Tên ngành: Kế toán, phân tích và kiểm toán",Tổ hợp môn:,NV1: 17.00
10,Mã ngành: 0,"Tên ngành: Kế toán, phân tích và kiểm toán",Tổ hợp môn:,NV1: 16.00
11,Mã ngành: 0,Tên ngành: Kinh doanh quốc tế,Tổ hợp môn:,NV1: 17.00
12,Mã ngành: 0,Tên ngành: Kinh tế - Quản lý - do ĐH Paris Sud 11 (Pháp) cấp bằng,Tổ hợp môn:,NV1: 17.00
13,Mã ngành: 0,Tên ngành: Kinh tế - Quản lý - do ĐH Paris Sud 11 (Pháp) cấp bằng,Tổ hợp môn:,NV1: 19.50
14,Mã ngành: 0,Tên ngành: Kinh tế - Quản lý - do ĐH Paris Sud 11 (Pháp) cấp bằng,Tổ hợp môn:,NV1: 16.00
