,0,1,2,3
0,Mã ngành: 101,Tên ngành: Toán học,Tổ hợp môn:,NV1: 17.00
1,Mã ngành: 103,Tên ngành: Toán-Tin ứng dụng,Tổ hợp môn:,NV1: 17.50
2,Mã ngành: 106,Tên ngành: Vật lý,Tổ hợp môn:,NV1: 17.00
3,Mã ngành: 107,Tên ngành: Khoa học vật liệu,Tổ hợp môn:,NV1: 17.00
4,Mã ngành: 108,Tên ngành: Công nghệ hạt nhân,Tổ hợp môn:,NV1: 17.00
5,Mã ngành: 110,Tên ngành: Khí tượng-Thủy văn-Hải dương,Tổ hợp môn:,NV1: 16.00
6,Mã ngành: 201,Tên ngành: Hoá học,Tổ hợp môn:,NV1: 18.00
7,Mã ngành: 202,Tên ngành: Công nghệ hoá học,Tổ hợp môn:,NV1: 18.00
8,Mã ngành: 204,Tên ngành: Địa lý,Tổ hợp môn:,NV1: 16.00
9,Mã ngành: 205,Tên ngành: Địa chính,Tổ hợp môn:,NV1: 16.00
10,Mã ngành: 206,Tên ngành: Địa chất,Tổ hợp môn:,NV1: 16.00
11,Mã ngành: 208,Tên ngành: Địa kỹ thuật-địa môi trường,Tổ hợp môn:,NV1: 16.00
12,Mã ngành: 209,Tên ngành: Quản lý tài nguyên thiên nhiên,Tổ hợp môn:,NV1: 16.00
13,Mã ngành: 210,Tên ngành: Hóa dược,Tổ hợp môn:,NV1: 19.00
14,Mã ngành: 301,Tên ngành: Sinh học,Tổ hợp môn:,NV1: 17.00
15,Mã ngành: 301,Tên ngành: Sinh học,Tổ hợp môn:,NV1: 17.00
16,Mã ngành: 302,Tên ngành: Công nghệ sinh học:,Tổ hợp môn:,NV1: 22.50
17,Mã ngành: 302,Tên ngành: Công nghệ sinh học,Tổ hợp môn:,NV1: 18.00
18,Mã ngành: 303,Tên ngành: Khoa học môi trường:,Tổ hợp môn:,NV1: 20.50
19,Mã ngành: 303,Tên ngành: Khoa học môi trường,Tổ hợp môn:,NV1: 18.00
20,Mã ngành: 305,Tên ngành: Công nghệ môi trường,Tổ hợp môn:,NV1: 18.00
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
