,0,1,2,3
0,Mã ngành: 7220104,Tên ngành: Hán Nôm,Tổ hợp môn: D79,NV1: 18.00
1,Mã ngành: 7220104,Tên ngành: Hán Nôm,Tổ hợp môn: D78,NV1: 17.00
2,Mã ngành: 7220104,Tên ngành: Hán Nôm,Tổ hợp môn: D06,NV1: 18.00
3,Mã ngành: 7220104,Tên ngành: Hán Nôm,Tổ hợp môn: D05,NV1: 18.00
4,Mã ngành: 7220104,Tên ngành: Hán Nôm,Tổ hợp môn: D04,NV1: 18.00
5,Mã ngành: 7220104,Tên ngành: Hán Nôm,Tổ hợp môn: D03,NV1: 18.00
6,Mã ngành: 7220104,Tên ngành: Hán Nôm,Tổ hợp môn: D02,NV1: 18.00
7,Mã ngành: 7220104,Tên ngành: Hán Nôm,Tổ hợp môn: D01,NV1: 18.00
8,Mã ngành: 7220104,Tên ngành: Hán Nôm,Tổ hợp môn: coo,NV1: 22.00
9,Mã ngành: 7220104,Tên ngành: Hán Nôm,Tổ hợp môn: D83,NV1: 18.00
10,Mã ngành: 7220104,Tên ngành: Hán Nôm,Tổ hợp môn: D82,NV1: 18.00
11,Mã ngành: 7220104,Tên ngành: Hán Nôm,Tổ hợp môn: D81,NV1: 18.00
12,Mã ngành: 7220104,Tên ngành: Hán Nôm,Tổ hợp môn: D80,NV1: 18.00
13,Mã ngành: 7229001,Tên ngành: Triết học,Tổ hợp môn: D82,NV1: 18.00
14,Mã ngành: 7229001,Tên ngành: Triết học,Tổ hợp môn: D81,NV1: 18.00
15,Mã ngành: 7229001,Tên ngành: Triết học,Tổ hợp môn: D78,NV1: 18.00
16,Mã ngành: 7229001,Tên ngành: Triết học,Tổ hợp môn: D06,NV1: 18.00
17,Mã ngành: 7229001,Tên ngành: Triết học,Tổ hợp môn: D05,NV1: 17.00
18,Mã ngành: 7229001,Tên ngành: Triết học,Tổ hợp môn: D04,NV1: 18.00
19,Mã ngành: 7229001,Tên ngành: Triết học,Tổ hợp môn: D03,NV1: 18.00
20,Mã ngành: 7229001,Tên ngành: Triết học,Tổ hợp môn: D02,NV1: 18.00
21,Mã ngành: 7229001,Tên ngành: Triết học,Tổ hợp môn: D01,NV1: 16.50
