,0,1,2,3
0,Mã ngành: 7420201,Tên ngành: Công nghệ Sinh học,Tổ hợp môn:,NV1: 18.50
1,Mã ngành: 7430122,Tên ngành: Khoa học vật liệu,Tổ hợp môn:,NV1: 16.00
2,Mã ngành: 7510601,Tên ngành: Quản lí công nghiệp,Tổ hợp môn:,NV1: 18.00
3,Mã ngành: 7510602,Tên ngành: Kĩ thuật Hệ thống Công nghiệp,Tổ hợp môn:,NV1: 16.00
4,Mã ngành: 7520101,Tên ngành: Cơ Kĩ thuật,Tổ hợp môn:,NV1: 16.50
5,Mã ngành: 7520114,Tên ngành: Kĩ thuật cơ - điện tử,Tổ hợp môn:,NV1: 18.50
6,Mã ngành: 7520201,"Tên ngành: Kĩ thuật điện, điện tử",Tổ hợp môn:,NV1: 19.00
7,Mã ngành: 7520401,Tên ngành: Vật lý kĩ thuật,Tổ hợp môn:,NV1: 16.50
8,Mã ngành: 7520501,Tên ngành: Kĩ thuật địa chất,Tổ hợp môn:,NV1: 19.50
9,Mã ngành: 7520503,Tên ngành: Kĩ thuật trắc địa - bản đồ,Tổ hợp môn:,NV1: 16.00
10,Mã ngành: 7520604,Tên ngành: Kĩ thuật dầu khí,Tổ hợp môn:,NV1: 19.50
11,Mã ngành: 7540101,Tên ngành: Công nghệ Thực phẩm,Tổ hợp môn:,NV1: 18.50
12,Mã ngành: 7540201,Tên ngành: Kĩ thuật Dệt,Tổ hợp môn:,NV1: 16.00
13,Mã ngành: 7580102,Tên ngành: Kiến trúc,Tổ hợp môn:,NV1: 24.00
14,Mã ngành: 7580201,Tên ngành: Kĩ thuật công trình xây dựng,Tổ hợp môn:,NV1: 19.50
15,Mã ngành: 7580205,Tên ngành: Kĩ thuật xây dựng công trình giao thông,Tổ hợp môn:,NV1: 16.50
16,Mã ngành: 7850101,Tên ngành: Quản lí tài nguyên và môi trường,Tổ hợp môn:,NV1: 16.50
17,,,,
18,,,,
