,0,1,2,3
0,Mã ngành: 7340122,Tên ngành: Thương mại điện tử,"Tổ hợp môn: A00, A01, D01",NV1: 23.90
1,Mã ngành: 7340122,Tên ngành: Thương mại điện tử,Tổ hợp môn:,NV1: 900.00
2,Mã ngành: 7340122_CLCA,Tên ngành: Thương mại điện tử (chất lượng cao),"Tổ hợp môn: A00, A01, D01",NV1: 21.05
3,Mã ngành: 7340122_CLCA,Tên ngành: Thương mại điện tử (chất lượng cao),Tổ hợp môn:,NV1: 790.00
4,Mã ngành: 7480101,Tên ngành: Khoa học máy tính,"Tổ hợp môn: A00, A01, D02",NV1: 24.55
5,Mã ngành: 7480101,Tên ngành: Khoa học máy tính,Tổ hợp môn:,NV1: 980.00
6,Mã ngành: 7480101_CLCA,Tên ngành: Khoa học máy tính (chất lượng cao),"Tổ hợp môn: A00, A01, D03",NV1: 22.65
7,Mã ngành: 7480101_CLCA,Tên ngành: Khoa học máy tính (chất lượng cao),Tổ hợp môn:,NV1: 900.00
8,Mã ngành: 7480102,Tên ngành: Mạng máy tính và truyền thông dữ liệu,"Tổ hợp môn: A00, A01, D04",NV1: 23.20
9,Mã ngành: 7480102,Tên ngành: Mạng máy tính và truyền thông dữ liệu,Tổ hợp môn:,NV1: 840.00
10,Mã ngành: 7480102_CLCA,Tên ngành: Mạng máy tính và truyền thông dữ liệu (chất lượng cao),Tổ hợp môn:,NV1: 750.00
11,Mã ngành: 7480102_CLCA,Tên ngành: Mạng máy tính và truyền thông dữ liệu (chất lượng cao),"Tổ hợp môn: A00, A01, D05",NV1: 20.00
12,Mã ngành: 7480103,Tên ngành: Kỹ thuật phần mềm,Tổ hợp môn:,NV1: 960.00
13,Mã ngành: 7480103,Tên ngành: Kỹ thuật phần mềm,"Tổ hợp môn: A00, A01, D06",NV1: 25.30
14,Mã ngành: 7480103_CLCA,Tên ngành: Kỹ thuật phần mềm (chất lượng cao),Tổ hợp môn:,NV1: 890.00
15,Mã ngành: 7480103_CLCA,Tên ngành: Kỹ thuật phần mềm (chất lượng cao),"Tổ hợp môn: A00, A01, D07",NV1: 23.20
16,Mã ngành: 7480104,Tên ngành: Hệ thống thông tin,Tổ hợp môn:,NV1: 886040.00
17,Mã ngành: 7480104,Tên ngành: Hệ thống thông tin,"Tổ hợp môn: A00, A01, D08",NV1: 23.50
18,Mã ngành: 7480104_CLCA,Tên ngành: Hệ thống thông tin (chất lượng cao),Tổ hợp môn:,NV1: 750.00
19,Mã ngành: 7480104_CLCA,Tên ngành: Hệ thống thông tin (chất lượng cao),"Tổ hợp môn: A00, A01, D09",NV1: 21.40
20,Mã ngành: 7480104_TT,Tên ngành: Hệ thống thông tin (tiên tiến),"Tổ hợp môn: A00, A01, D10",NV1: 17.80
21,Mã ngành: 7480104_TT,Tên ngành: Hệ thống thông tin (tiên tiến),Tổ hợp môn:,NV1: 750.00
22,Mã ngành: 7480106,Tên ngành: Kỹ thuật máy tính,"Tổ hợp môn: A00, A01, D11",NV1: 23.80
23,Mã ngành: 7480106,Tên ngành: Kỹ thuật máy tính,Tổ hợp môn:,NV1: 870.00
24,Mã ngành: 7480106_CLCA,Tên ngành: Kỹ thuật máy tính (chất lượng cao),"Tổ hợp môn: A00, A01, D12",NV1: 21.00
25,Mã ngành: 7480106_CLCA,Tên ngành: Kỹ thuật máy tính (chất lượng cao),Tổ hợp môn:,NV1: 750.00
26,Mã ngành: 7480109,Tên ngành: Khoa học dữ liệu,"Tổ hợp môn: A00, A01, D13",NV1: 23.50
27,Mã ngành: 7480109,Tên ngành: Khoa học dữ liệu,Tổ hợp môn:,NV1: 870.00
28,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,"Tổ hợp môn: A00, A01, D14",NV1: 24.65
29,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 950.00
30,Mã ngành: 7480201_BT,Tên ngành: Công nghệ thông tin (Đào tạo tại Phân hiệu ĐHQG-HCM tại Bến Tre),"Tổ hợp môn: A00, A01, D15",NV1: 22.90
31,Mã ngành: 7480201_BT,Tên ngành: Công nghệ thông tin (Đào tạo tại Phân hiệu ĐHQG-HCM tại Bến Tre),Tổ hợp môn:,NV1: 850.00
32,Mã ngành: 7480201_CLCN,Tên ngành: Công nghệ thông tin (chất lượng cao định hướng Nhật Bản),"Tổ hợp môn: A00, A01, D16",NV1: 21.30
33,Mã ngành: 7480201_CLCN,Tên ngành: Công nghệ thông tin (chất lượng cao định hướng Nhật Bản),Tổ hợp môn:,NV1: 750.00
34,Mã ngành: 7480202,Tên ngành: An toàn thông tin,"Tổ hợp môn: A00, A01, D17",NV1: 24.45
35,Mã ngành: 7480202,Tên ngành: An toàn thông tin,Tổ hợp môn:,NV1: 900.00
36,Mã ngành: 7480202_CLCA,Tên ngành: An toàn thông tin (chất lượng cao),"Tổ hợp môn: A00, A01, D18",NV1: 22.00
37,Mã ngành: 7480202_CLCA,Tên ngành: An toàn thông tin (chất lượng cao),Tổ hợp môn:,NV1: 800.00
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
