,0,1,2,3
0,Mã ngành: 7310101,Tên ngành: Kinh tế và quản lý Công,Tổ hợp môn:,NV1: 28.00
1,Mã ngành: 7310101,Tên ngành: Kinh tế và quản lý Công,Tổ hợp môn:,NV1: 27.00
2,Mã ngành: 7310101,Tên ngành: Kinh tế học,Tổ hợp môn:,NV1: 24.00
3,Mã ngành: 7310106,Tên ngành: Kinh tế đối ngoại,Tổ hợp môn:,NV1: 30.00
4,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 26.50
5,Mã ngành: 7340120,Tên ngành: Kinh doanh quốc tế,Tổ hợp môn:,NV1: 31.50
6,Mã ngành: 7340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 24.00
7,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 29.50
8,Mã ngành: 7340302,Tên ngành: Kiểm toán,Tổ hợp môn:,NV1: 29.00
9,Mã ngành: 7340405,Tên ngành: Hệ thống thông tin quản lý,Tổ hợp môn:,NV1: 24.00
10,Mã ngành: 7380101,Tên ngành: Luật Dân sự,Tổ hợp môn:,NV1: 18.00
11,Mã ngành: 7380101,Tên ngành: Luật Dân sự,Tổ hợp môn:,NV1: 28.50
12,Mã ngành: 7380107,Tên ngành: Luật Tài chính - Ngân hàng - Chứng khoán,Tổ hợp môn:,NV1: 28.00
13,Mã ngành: 7380107,Tên ngành: Luật Tài chính - Ngân hàng - Chứng khoán,Tổ hợp môn:,NV1: 28.50
14,Mã ngành: 7380107,Tên ngành: Luật Thương Mại,Tổ hợp môn:,NV1: 28.00
15,Mã ngành: 7380107,Tên ngành: Luật Thương mại quốc tế,Tổ hợp môn:,NV1: 28.50
16,Mã ngành: 7380107,Tên ngành: Luật Kinh doanh,Tổ hợp môn:,NV1: 28.00
17,Mã ngành: 7380107,Tên ngành: Luật Kinh doanh,Tổ hợp môn:,NV1: 28.50
18,,,,
19,,,,
20,,,,
