,0,1,2,3
0,Mã ngành: 6480201,Tên ngành: Cao đẳng Công nghệ thông tin,Tổ hợp môn:,NV1: 529.00
1,Mã ngành: 6480201,Tên ngành: Cao đẳng Công nghệ thông tin,Tổ hợp môn:,NV1: 15.75
2,Mã ngành: 7420101,Tên ngành: Sinh học,Tổ hợp môn:,NV1: 603.00
3,Mã ngành: 7420101,Tên ngành: Sinh học,Tổ hợp môn:,NV1: 16.00
4,Mã ngành: 7420101_BT,Tên ngành: Sinh học,Tổ hợp môn:,NV1: 15.45
5,Mã ngành: 7420201,Tên ngành: Công nghệ sinh học,Tổ hợp môn:,NV1: 707.00
6,Mã ngành: 7420201,Tên ngành: Công nghệ sinh học,Tổ hợp môn:,NV1: 20.70
7,Mã ngành: 7420201_CLC,Tên ngành: Công nghệ Sinh học,Tổ hợp môn:,NV1: 698.00
8,Mã ngành: 7420201_CLC,Tên ngành: Công nghệ Sinh học,Tổ hợp môn:,NV1: 18.25
9,Mã ngành: 7440102,Tên ngành: Vật lý,Tổ hợp môn:,NV1: 16.00
10,Mã ngành: 7440102,Tên ngành: Vật lý,Tổ hợp môn:,NV1: 642.00
11,Mã ngành: 7440112,Tên ngành: Hoá học,Tổ hợp môn:,NV1: 20.50
12,Mã ngành: 7440112,Tên ngành: Hoá học,Tổ hợp môn:,NV1: 651.00
13,Mã ngành: 7440112_VP,Tên ngành: Hoá học- CT Việt Pháp,Tổ hợp môn:,NV1: 19.40
14,Mã ngành: 7440112_VP,Tên ngành: Hoá học- CT Việt Pháp,Tổ hợp môn:,NV1: 618.00
15,Mã ngành: 7440122,Tên ngành: Khoa học Vật liệu,Tổ hợp môn:,NV1: 627.00
16,Mã ngành: 7440122,Tên ngành: Khoa học Vật liệu,Tổ hợp môn:,NV1: 16.10
17,Mã ngành: 7440201,Tên ngành: Địa chất,Tổ hợp môn:,NV1: 16.05
18,Mã ngành: 7440228,Tên ngành: Hải dương học,Tổ hợp môn:,NV1: 650.00
19,Mã ngành: 7440228,Tên ngành: Hải dương học,Tổ hợp môn:,NV1: 16.00
20,Mã ngành: 7440301,Tên ngành: Khoa học Môi trường,Tổ hợp môn:,NV1: 16.00
21,Mã ngành: 7440301,Tên ngành: Khoa học Môi trường,Tổ hợp môn:,NV1: 608.00
22,Mã ngành: 7440301_BT,Tên ngành: Khoa học môi trường,Tổ hợp môn:,NV1: 15.05
23,Mã ngành: 7460101,Tên ngành: Toán học,Tổ hợp môn:,NV1: 16.05
24,Mã ngành: 7460101,Tên ngành: Toán học,Tổ hợp môn:,NV1: 607.00
25,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 22.75
26,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 781.00
27,Mã ngành: 7480201_CLC,Tên ngành: Công nghệ thông tin (Chất lượng cao): Chương trình đào tạo đạt chuẩn kiểm định quốc tế AUN-QA,Tổ hợp môn:,NV1: 21.20
28,Mã ngành: 7480201_CLC,Tên ngành: Công nghệ thông tin (Chất lượng cao): Chương trình đào tạo đạt chuẩn kiểm định quốc tế AUN-QA,Tổ hợp môn:,NV1: 770.00
29,Mã ngành: 7480201_TT,"Tên ngành: Công nghệ thông tin (Tiên tiến): Chương trình tiên tiến hợp tác với trường ĐH Portland, Hoa Kỳ",Tổ hợp môn:,NV1: 21.40
30,Mã ngành: 7480201_TT,"Tên ngành: Công nghệ thông tin (Tiên tiến): Chương trình tiên tiến hợp tác với trường ĐH Portland, Hoa Kỳ",Tổ hợp môn:,NV1: 21.40
31,Mã ngành: 7480201_VP,"Tên ngành: Công nghệ thông tin (Việt - Pháp): Chương trình đào tạo hợp tác đại học Claude Bernard Lyon 1, Pháp",Tổ hợp môn:,NV1: 619.00
32,Mã ngành: 7480201_VP,"Tên ngành: Công nghệ thông tin (Việt - Pháp): Chương trình đào tạo hợp tác đại học Claude Bernard Lyon 1, Pháp",Tổ hợp môn:,NV1: 20.10
33,Mã ngành: 7510401_CLC,Tên ngành: Công nghệ kỹ thuật Hoá học - CT Chất lượng cao,Tổ hợp môn:,NV1: 620.00
34,Mã ngành: 7510401_CLC,Tên ngành: Công nghệ kỹ thuật Hoá học - CT Chất lượng cao,Tổ hợp môn:,NV1: 19.75
35,Mã ngành: 7510406,Tên ngành: Công nghệ Kỹ thuật Môi trường,Tổ hợp môn:,NV1: 601.00
36,Mã ngành: 7510406,Tên ngành: Công nghệ Kỹ thuật Môi trường,Tổ hợp môn:,NV1: 16.00
37,Mã ngành: 7520207,Tên ngành: Kỹ thuật hạt nhân,Tổ hợp môn:,NV1: 17.85
38,Mã ngành: 7520207,Tên ngành: Kỹ thuật hạt nhân,Tổ hợp môn:,NV1: 600.00
39,Mã ngành: 7520207_CLC,Tên ngành: Kỹ thuật điện tử - viễn thông,Tổ hợp môn:,NV1: 16.10
40,Mã ngành: 7520207_CLC,Tên ngành: Kỹ thuật điện tử - viễn thông,Tổ hợp môn:,NV1: 656.00
41,Mã ngành: 7520402,Tên ngành: Kỹ thuật hạt nhân,Tổ hợp môn:,NV1: 16.90
42,Mã ngành: 7520402,Tên ngành: Kỹ thuật hạt nhân,Tổ hợp môn:,NV1: 652.00
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
