,0,1,2,3
0,Mã ngành: 7140101,Tên ngành: Giáo dục học,Tổ hợp môn:,NV1: 18.75
1,Mã ngành: 7140101,Tên ngành: Giáo dục học,Tổ hợp môn:,NV1: 18.75
2,Mã ngành: 7140101,Tên ngành: Giáo dục học,Tổ hợp môn:,NV1: 20.75
3,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 24.00
4,Mã ngành: 7220202,Tên ngành: Ngôn ngữ Nga,Tổ hợp môn:,NV1: 20.00
5,Mã ngành: 7220202,Tên ngành: Ngôn ngữ Nga,Tổ hợp môn:,NV1: 20.00
6,Mã ngành: 7220203,Tên ngành: Ngôn ngữ Pháp,Tổ hợp môn:,NV1: 20.50
7,Mã ngành: 7220203,Tên ngành: Ngôn ngữ Pháp,Tổ hợp môn:,NV1: 21.38
8,Mã ngành: 7220204,Tên ngành: Ngôn ngữ Trung Quốc,Tổ hợp môn:,NV1: 20.00
9,Mã ngành: 7220204,Tên ngành: Ngôn ngữ Trung Quốc,Tổ hợp môn:,NV1: 21.69
10,Mã ngành: 7220205,Tên ngành: Ngôn ngữ Đức,Tổ hợp môn:,NV1: 22.00
11,Mã ngành: 7220206,Tên ngành: Ngôn ngữ Tây Ban Nha,Tổ hợp môn:,NV1: 20.00
12,Mã ngành: 7220206,Tên ngành: Ngôn ngữ Tây Ban Nha,Tổ hợp môn:,NV1: 21.00
13,Mã ngành: 7220208,Tên ngành: Ngôn ngữ Italia,Tổ hợp môn:,NV1: 20.00
14,Mã ngành: 7220208,Tên ngành: Ngôn ngữ Italia,Tổ hợp môn:,NV1: 20.00
15,Mã ngành: 7220213,Tên ngành: Đông phương học,Tổ hợp môn:,NV1: 21.75
16,Mã ngành: 7220213,Tên ngành: Đông phương học,Tổ hợp môn:,NV1: 20.75
17,Mã ngành: 7220213,Tên ngành: Đông phương học,Tổ hợp môn:,NV1: 21.75
18,Mã ngành: 7220216,Tên ngành: Nhật Bản học,Tổ hợp môn:,NV1: 23.75
19,Mã ngành: 7220216,Tên ngành: Nhật Bản học,Tổ hợp môn:,NV1: 21.50
20,Mã ngành: 7220216,Tên ngành: Nhật Bản học,Tổ hợp môn:,NV1: 23.75
21,Mã ngành: 7220217,Tên ngành: Hàn Quốc học,Tổ hợp môn:,NV1: 23.00
22,Mã ngành: 7220217,Tên ngành: Hàn Quốc học,Tổ hợp môn:,NV1: 23.00
23,Mã ngành: 7220301,Tên ngành: Triết học,Tổ hợp môn:,NV1: 18.50
24,Mã ngành: 7220301,Tên ngành: Triết học,Tổ hợp môn:,NV1: 21.00
25,Mã ngành: 7220301,Tên ngành: Triết học,Tổ hợp môn:,NV1: 18.50
26,Mã ngành: 7220301,Tên ngành: Triết học,Tổ hợp môn:,NV1: 18.50
27,Mã ngành: 7220310,Tên ngành: Lịch sử,Tổ hợp môn:,NV1: 18.50
28,Mã ngành: 7220310,Tên ngành: Lịch sử,Tổ hợp môn:,NV1: 18.50
29,Mã ngành: 7220310,Tên ngành: Lịch sử,Tổ hợp môn:,NV1: 20.56
30,Mã ngành: 7220320,Tên ngành: Ngôn ngữ học,Tổ hợp môn:,NV1: 21.25
31,Mã ngành: 7220320,Tên ngành: Ngôn ngữ học,Tổ hợp môn:,NV1: 21.25
32,Mã ngành: 7220320,Tên ngành: Ngôn ngữ học,Tổ hợp môn:,NV1: 23.00
33,Mã ngành: 7220330,Tên ngành: Văn học,Tổ hợp môn:,NV1: 21.75
34,Mã ngành: 7220330,Tên ngành: Văn học,Tổ hợp môn:,NV1: 21.75
35,Mã ngành: 7220330,Tên ngành: Văn học,Tổ hợp môn:,NV1: 23.50
36,Mã ngành: 7220340,Tên ngành: Văn hóa học,Tổ hợp môn:,NV1: 19.25
37,Mã ngành: 7220340,Tên ngành: Văn hóa học,Tổ hợp môn:,NV1: 21.75
38,Mã ngành: 7220340,Tên ngành: Văn hóa học,Tổ hợp môn:,NV1: 19.25
