,0,1,2,3
0,Mã ngành: 7140114,Tên ngành: Quản lý giáo dục,Tổ hợp môn:,NV1: 15.50
1,Mã ngành: 7140115,Tên ngành: Quản lí giáo dục,Tổ hợp môn:,NV1: 17.00
2,Mã ngành: 7140116,Tên ngành: Quản lí giáo dục,Tổ hợp môn:,NV1: 17.50
3,Mã ngành: 7140201,Tên ngành: Giáo dục Mầm non,Tổ hợp môn:,NV1: 18.50
4,Mã ngành: 7140202,Tên ngành: Giáo dục Tiểu học,Tổ hợp môn:,NV1: 20.00
5,Mã ngành: 7140202,Tên ngành: Giáo dục Tiểu học,Tổ hợp môn:,NV1: 19.50
6,Mã ngành: 7140205,Tên ngành: Giáo dục chính trị,Tổ hợp môn:,NV1: 14.00
7,Mã ngành: 7140205,Tên ngành: Giáo dục chính trị,Tổ hợp môn:,NV1: 15.00
8,Mã ngành: 7140209,Tên ngành: Sư phạm Toán học,Tổ hợp môn:,NV1: 22.00
9,Mã ngành: 7140211,Tên ngành: Sư phạm Vật lí,Tổ hợp môn:,NV1: 19.00
10,Mã ngành: 7140212,Tên ngành: Sư phạm Hóa học,Tổ hợp môn:,NV1: 21.00
11,Mã ngành: 7140213,Tên ngành: Sư phạm Sinh học,Tổ hợp môn:,NV1: 18.00
12,Mã ngành: 7140217,Tên ngành: Sư phạm Ngữ văn,Tổ hợp môn:,NV1: 18.00
13,Mã ngành: 7140218,Tên ngành: Sư phạm Lịch sử,Tổ hợp môn:,NV1: 16.00
14,Mã ngành: 7140219,Tên ngành: Sư phạm Địa lí,Tổ hợp môn:,NV1: 16.00
15,Mã ngành: 7140219,Tên ngành: Sư phạm Địa lí,Tổ hợp môn:,NV1: 15.00
16,Mã ngành: 7140221,Tên ngành: Sư phạm Âm nhạc,Tổ hợp môn:,NV1: 35.00
17,Mã ngành: 7140222,Tên ngành: Sư phạm Mĩ thuật,Tổ hợp môn:,NV1: 28.00
18,Mã ngành: 7140231,Tên ngành: Sư phạm Tiếng Anh,Tổ hợp môn:,NV1: 20.00
19,Mã ngành: 7210205,Tên ngành: Thanh nhạc,Tổ hợp môn:,NV1: 34.00
20,Mã ngành: 7220113,Tên ngành: Việt Nam học (VH-DL),Tổ hợp môn:,NV1: 18.00
21,Mã ngành: 7220113,Tên ngành: Việt Nam học (VH-DL),Tổ hợp môn:,NV1: 17.00
22,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh (TM-DL),Tổ hợp môn:,NV1: 20.00
23,Mã ngành: 7320202,Tên ngành: Khoa học thư viện,Tổ hợp môn:,NV1: 14.50
24,Mã ngành: 7320202,Tên ngành: Khoa học thư viện,Tổ hợp môn:,NV1: 14.00
25,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 18.50
26,Mã ngành: 7340201,Tên ngành: Tài chính Ngân hàng,Tổ hợp môn:,NV1: 17.50
27,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 18.50
28,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn:,NV1: 22.00
29,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn:,NV1: 20.00
30,Mã ngành: 7440301,Tên ngành: Khoa học môi trường,Tổ hợp môn:,NV1: 19.00
31,Mã ngành: 7440301,Tên ngành: Khoa học môi trường,Tổ hợp môn:,NV1: 17.50
32,Mã ngành: 7460112,Tên ngành: Toán ứng dụng,Tổ hợp môn:,NV1: 17.00
33,Mã ngành: 7460112,Tên ngành: Toán ứng dụng,Tổ hợp môn:,NV1: 16.00
34,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 18.50
35,Mã ngành: 7510301,"Tên ngành: Công nghệ kĩ thuật điện, điện tử",Tổ hợp môn:,NV1: 16.00
36,Mã ngành: 7510302,"Tên ngành: Công nghệ kĩ thuật điện tử, truyền thông",Tổ hợp môn:,NV1: 16.00
37,Mã ngành: 7520201,"Tên ngành: Kĩ thuật điện, điện tử",Tổ hợp môn:,NV1: 16.50
38,Mã ngành: 7520207,"Tên ngành: Kĩ thuật điện tử, truyền thông",Tổ hợp môn:,NV1: 16.50
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
