,0,1,2,3
0,Mã ngành: 101,Tên ngành: Công nghệ kĩ thuật điện tử,Tổ hợp môn:,NV1: 14.50
1,Mã ngành: 102,Tên ngành: Công nghệ điên ảnh truyền hình,Tổ hợp môn:,NV1: 14.50
2,Mã ngành: 901,Tên ngành: Đạo diễn điện ảnh,Tổ hợp môn:,NV1: 18.00
3,Mã ngành: 902,Tên ngành: Quay phim điện ảnh,Tổ hợp môn:,NV1: 15.50
4,Mã ngành: 903,Tên ngành: Lý luận phê bình điện ảnh,Tổ hợp môn:,NV1: 18.00
5,Mã ngành: 904,Tên ngành: Biên kịch điện ảnh,Tổ hợp môn:,NV1: 19.00
6,Mã ngành: 905,Tên ngành: Nhiếp ảnh,Tổ hợp môn:,NV1: 17.00
7,Mã ngành: 907,Tên ngành: Diễn viên sân khấu điện ảnh,Tổ hợp môn:,NV1: 16.50
8,Mã ngành: 909,Tên ngành: Diễn viên cải lương,Tổ hợp môn:,NV1: 17.00
9,Mã ngành: 910,Tên ngành: Diễn viên chèo,Tổ hợp môn:,NV1: 16.50
10,Mã ngành: 912,Tên ngành: Thiết kế Mĩ thuật,Tổ hợp môn:,NV1: 16.00
11,Mã ngành: 913,Tên ngành: Thiết kế phục trang,Tổ hợp môn:,NV1: 15.50
12,Mã ngành: 914,Tên ngành: Đạo diễn truyền hình,Tổ hợp môn:,NV1: 17.00
13,Mã ngành: 915,Tên ngành: Quay phim truyền hình,Tổ hợp môn:,NV1: 16.00
