,0,1,2,3
0,Mã ngành: 7140214,Tên ngành: Sư phạm kỹ thuật công nghiệp,Tổ hợp môn:,NV1: 14.00
1,Mã ngành: 7140214,Tên ngành: Sư phạm kỹ thuật công nghiệp,Tổ hợp môn:,NV1: 13.00
2,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 13.00
3,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh (gồm 02 chuyên ngành: Quản trị kinh doanh công nghiệp; Kinh tế và quản trị kinh doanh thời trang),Tổ hợp môn:,NV1: 13.00
4,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 13.00
5,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 13.00
6,Mã ngành: 7510201,Tên ngành: Công nghệ kỹ thuật cơ khí,Tổ hợp môn:,NV1: 13.00
7,Mã ngành: 7510202,Tên ngành: Công nghệ chế tạo máy,Tổ hợp môn:,NV1: 13.00
8,Mã ngành: 7510203,Tên ngành: Công nghệ kỹ thuật cơ điện tử (Công nghệ kỹ thuật cơ điện tử; Công nghệ cơ điện),Tổ hợp môn:,NV1: 13.00
9,Mã ngành: 7510205,Tên ngành: Công nghệ kỹ thuật ô tô,Tổ hợp môn:,NV1: 13.00
10,Mã ngành: 7510301,"Tên ngành: Công nghệ kỹ thuật điện, điện tử",Tổ hợp môn:,NV1: 13.00
11,Mã ngành: 7510401,Tên ngành: Công nghệ kỹ thuật hoá học,Tổ hợp môn:,NV1: 14.00
12,Mã ngành: 7510401,Tên ngành: Công nghệ kỹ thuật hoá học,Tổ hợp môn:,NV1: 13.00
13,Mã ngành: 7510406,Tên ngành: Công nghệ kỹ thuật môi trường,Tổ hợp môn:,NV1: 14.00
14,Mã ngành: 7510406,Tên ngành: Công nghệ kỹ thuật môi trường,Tổ hợp môn:,NV1: 13.00
15,Mã ngành: 7540204,Tên ngành: Công nghệ may,Tổ hợp môn:,NV1: 13.00
16,Mã ngành: C340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 10.00
17,Mã ngành: C340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 10.00
18,Mã ngành: C480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 10.00
19,Mã ngành: C510201,Tên ngành: Công nghệ kỹ thuật cơ khí,Tổ hợp môn:,NV1: 10.00
20,Mã ngành: C510202,Tên ngành: Công nghệ chế tạo máy,Tổ hợp môn:,NV1: 10.00
21,Mã ngành: C510203,Tên ngành: Công nghệ kỹ thuật cơ điện tử,Tổ hợp môn:,NV1: 10.00
22,Mã ngành: C510205,Tên ngành: Công nghệ kỹ thuật ôtô,Tổ hợp môn:,NV1: 10.00
23,Mã ngành: C510301,"Tên ngành: Công nghệ kỹ thuật điện, điện tử",Tổ hợp môn:,NV1: 10.00
24,Mã ngành: C540204,Tên ngành: Công nghệ may,Tổ hợp môn:,NV1: 10.00
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
