,0,1,2,3
0,Mã ngành: 7140246,Tên ngành: Sư phạm công nghệ,"Tổ hợp môn: A00, A01, B00, D01",NV1: 17.00
1,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00, A01, B00, D01",NV1: 13.50
2,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00, A01, B00, D01",NV1: 13.50
3,Mã ngành: 7340404,Tên ngành: Quản trị nhân lực,"Tổ hợp môn: A00, A01, B00, D01",NV1: 13.50
4,Mã ngành: 7480108,Tên ngành: Công nghệ kỹ thuật máy tính,"Tổ hợp môn: A00, A01, B00, D01",NV1: 13.50
5,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,"Tổ hợp môn: A00, A01, B00, D01",NV1: 14.00
6,Mã ngành: 7510201,Tên ngành: Công nghệ kỹ thuật cơ khí,"Tổ hợp môn: A00, A01, B00, D01",NV1: 13.50
7,Mã ngành: 7510202,Tên ngành: Công nghệ chế tạo máy,"Tổ hợp môn: A00, A01, B00, D01",NV1: 13.50
8,Mã ngành: 7510205,Tên ngành: Công nghệ kỹ thuật ôtô,"Tổ hợp môn: A00, A01, B00, D01",NV1: 14.00
9,Mã ngành: 7510301,"Tên ngành: Công nghệ kỹ thuật điện, điện tử","Tổ hợp môn: A00, A01, B00, D01",NV1: 14.00
10,Mã ngành: 7510302,"Tên ngành: Công nghệ kỹ thuật điện tử, viễn thông","Tổ hợp môn: A00, A01, B00, D01",NV1: 14.00
11,Mã ngành: 7510303,Tên ngành: Công nghệ kỹ thuật điều khiển và tự động hóa,"Tổ hợp môn: A00, A01, B00, D01",NV1: 14.00
