,0,1,2,3
0,Mã ngành: 7140114,Tên ngành: Quản lý giáo dục,Tổ hợp môn:,NV1: 19.58
1,Mã ngành: 7140201,Tên ngành: Giáo dục Mầm non,Tổ hợp môn:,NV1: 22.33
2,Mã ngành: 7140202,Tên ngành: Giáo dục Tiểu học,Tổ hợp môn:,NV1: 23.00
3,Mã ngành: 7140205,Tên ngành: Giáo dục Chính trị,Tổ hợp môn:,NV1: 19.83
4,Mã ngành: 7140206,Tên ngành: Giáo dục Thể chất,Tổ hợp môn:,NV1: 21.58
5,Mã ngành: 7140209,Tên ngành: Sư phạm Toán học,Tổ hợp môn:,NV1: 25.83
6,Mã ngành: 7140210,Tên ngành: Sư phạm Tin học,Tổ hợp môn:,NV1: 18.83
7,Mã ngành: 7140211,Tên ngành: Sư phạm Vật lý,Tổ hợp môn:,NV1: 24.17
8,Mã ngành: 7140212,Tên ngành: Sư phạm Hóa học,Tổ hợp môn:,NV1: 24.58
9,Mã ngành: 7140213,Tên ngành: Sư phạm Sinh học,Tổ hợp môn:,NV1: 20.83
10,Mã ngành: 7140217,Tên ngành: Sư phạm Ngữ văn,Tổ hợp môn:,NV1: 24.58
11,Mã ngành: 7140218,Tên ngành: Sư phạm Lịch sử,Tổ hợp môn:,NV1: 21.08
12,Mã ngành: 7140219,Tên ngành: Sư phạm Địa lý,Tổ hợp môn:,NV1: 25.33
13,Mã ngành: 7140221,Tên ngành: Sư phạm Âm nhạc,Tổ hợp môn:,NV1: 23.83
14,Mã ngành: 7140222,Tên ngành: Sư phạm Mỹ thuật,Tổ hợp môn:,NV1: 22.92
15,Mã ngành: 7140231,Tên ngành: Sư phạm Tiếng Anh,Tổ hợp môn:,NV1: 22.33
16,Mã ngành: 7220113,Tên ngành: Việt Nam học,Tổ hợp môn:,NV1: 19.92
17,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 20.00
18,Mã ngành: 7220204,Tên ngành: Ngôn ngữ Trung Quốc,Tổ hợp môn:,NV1: 20.00
19,Mã ngành: 7220342,Tên ngành: Quản lý văn hóa,Tổ hợp môn:,NV1: 19.83
20,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 19.08
21,Mã ngành: 7340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 19.33
22,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 20.00
23,Mã ngành: 7440301,Tên ngành: Khoa học môi trường,Tổ hợp môn:,NV1: 20.00
24,Mã ngành: 7480101,Tên ngành: Khoa học máy tính,Tổ hợp môn:,NV1: 18.83
25,Mã ngành: 7620301,Tên ngành: Nuôi trồng thủy sản,Tổ hợp môn:,NV1: 18.83
26,Mã ngành: 7760101,Tên ngành: Công tác xã hội,Tổ hợp môn:,NV1: 19.50
27,Mã ngành: 7850103,Tên ngành: Quản lý đất đai,Tổ hợp môn:,NV1: 18.33
28,Mã ngành: C140201,Tên ngành: Giáo dục Mầm non,Tổ hợp môn:,NV1: 17.08
29,Mã ngành: C140202,Tên ngành: Giáo dục Tiểu học,Tổ hợp môn:,NV1: 19.08
30,Mã ngành: C140209,Tên ngành: Sư phạm Toán học,Tổ hợp môn:,NV1: 16.58
31,Mã ngành: C140211,Tên ngành: Sư phạm Vật lý,Tổ hợp môn:,NV1: 16.33
32,Mã ngành: C140212,Tên ngành: Sư phạm Hóa học,Tổ hợp môn:,NV1: 17.58
33,Mã ngành: C140213,Tên ngành: Sư phạm Sinh học,Tổ hợp môn:,NV1: 16.25
34,Mã ngành: C140217,Tên ngành: Sư phạm Ngữ ván,Tổ hợp môn:,NV1: 17.33
35,Mã ngành: C140219,Tên ngành: Sư phạm Địa lý,Tổ hợp môn:,NV1: 16.08
36,Mã ngành: C220201,Tên ngành: Tiếng Anh,Tổ hợp môn:,NV1: 15.08
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
