,0,1,2,3
0,Mã ngành: 7140114,Tên ngành: Quản lí Giáo dục,Tổ hợp môn:,NV1: 15.50
1,Mã ngành: 7140201,Tên ngành: Giáo dục Mầm non,Tổ hợp môn:,NV1: 21.50
2,Mã ngành: 7140201TA,Tên ngành: GD Mầm non - SP T. Anh,Tổ hợp môn:,NV1: 17.00
3,Mã ngành: 7140202,Tên ngành: Giáo dục Tiểu học,Tổ hợp môn:,NV1: 21.50
4,Mã ngành: 7140202TA,Tên ngành: GD Tiểu học - SP T.Anh,Tổ hợp môn:,NV1: 17.50
5,Mã ngành: 7140203,Tên ngành: Giáo dục đặc biệt,Tổ hợp môn:,NV1: 16.50
6,Mã ngành: 7140204,Tên ngành: Giáo dục công dân,Tổ hợp môn:,NV1: 16.00
7,Mã ngành: 7140205,Tên ngành: Giáo dục chính trị,Tổ hợp môn:,NV1: 15.00
8,Mã ngành: 7140205QP,Tên ngành: GD Quốc phòng - AN,Tổ hợp môn:,NV1: 15.00
9,Mã ngành: 7140206,Tên ngành: Giáo dục thể chất,Tổ hợp môn:,NV1: 24.50
10,Mã ngành: 7140209,Tên ngành: SP Toán học (Tiếng Anh),Tổ hợp môn:,NV1: 20.00
11,Mã ngành: 7140209,Tên ngành: SP Toán học (Tiếng Anh),Tổ hợp môn:,NV1: 23.50
12,Mã ngành: 7140209,Tên ngành: SP Toán học,Tổ hợp môn:,NV1: 24.00
13,Mã ngành: 7140210,Tên ngành: SP Tin học,Tổ hợp môn:,NV1: 17.00
14,Mã ngành: 7140211,Tên ngành: SP Vật lý,Tổ hợp môn:,NV1: 21.00
15,Mã ngành: 7140211,Tên ngành: SP Vật lý,Tổ hợp môn:,NV1: 22.00
16,Mã ngành: 7140212,Tên ngành: SP Hoá,Tổ hợp môn:,NV1: 24.00
17,Mã ngành: 7140213,Tên ngành: SP Sinh,Tổ hợp môn:,NV1: 21.00
18,Mã ngành: 7140214,Tên ngành: SPKT C.Nghiệp,Tổ hợp môn:,NV1: 15.00
19,Mã ngành: 7140217,Tên ngành: SP Ngữ văn,Tổ hợp môn:,NV1: 21.50
20,Mã ngành: 7140218,Tên ngành: SP Lịch Sử,Tổ hợp môn:,NV1: 18.00
21,Mã ngành: 7140219,Tên ngành: SP Địa lí,Tổ hợp môn:,NV1: 20.00
22,Mã ngành: 7140219,Tên ngành: SP Địa lí,Tổ hợp môn:,NV1: 17.50
23,Mã ngành: 7140221,Tên ngành: SP Âm nhạc,Tổ hợp môn:,NV1: 22.00
24,Mã ngành: 7140222,Tên ngành: SP Mỹ Thuật,Tổ hợp môn:,NV1: 22.00
25,Mã ngành: 7140231,Tên ngành: Sư phạm Tiếng Anh,Tổ hợp môn:,NV1: 26.00
26,Mã ngành: 7140233,Tên ngành: SP T.Pháp,Tổ hợp môn:,NV1: 23.00
27,Mã ngành: 7220113,Tên ngành: Việt Nam học,Tổ hợp môn:,NV1: 16.00
28,Mã ngành: 7310201,Tên ngành: SP Triết học,Tổ hợp môn:,NV1: 15.00
29,Mã ngành: 7310401,Tên ngành: Tâm lí học (Ngoài SP),Tổ hợp môn:,NV1: 18.50
30,Mã ngành: 7310403,Tên ngành: Tâm lý học (SP),Tổ hợp môn:,NV1: 18.50
31,Mã ngành: 7420101,Tên ngành: Sinh học,Tổ hợp môn:,NV1: 20.50
32,Mã ngành: 7460101,Tên ngành: Toán học,Tổ hợp môn:,NV1: 21.50
33,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 17.50
34,Mã ngành: 7550330,Tên ngành: Văn học,Tổ hợp môn:,NV1: 20.00
35,Mã ngành: 7760101,Tên ngành: Công tác xã hội,Tổ hợp môn:,NV1: 16.00
36,Mã ngành: C510504,Tên ngành: CĐ CN Thiết bị TH,Tổ hợp môn:,NV1: 11.00
37,Mã ngành: C510504,Tên ngành: CĐ CN Thiết bị TH,Tổ hợp môn:,NV1: 10.00
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
