,0,1,2,3
0,Mã ngành: 7140231,Tên ngành: Sư phạm Tiếng Anh,Tổ hợp môn:,NV1: 30.75
1,Mã ngành: 7210404,Tên ngành: Thiết kế thời trang,Tổ hợp môn:,NV1: 22.75
2,Mã ngành: 7340122,Tên ngành: Thương mại điện tử,Tổ hợp môn:,NV1: 28.75
3,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 28.75
4,Mã ngành: 7340301C,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 27.00
5,Mã ngành: 7480201,Tên ngành: CN thông tin,Tổ hợp môn:,NV1: 29.75
6,Mã ngành: 7480201C,Tên ngành: CN thông tin,Tổ hợp môn:,NV1: 28.25
7,Mã ngành: 7510102,Tên ngành: CN kỹ thuật công trình xây dựng,Tổ hợp môn:,NV1: 29.50
8,Mã ngành: 7510102C,Tên ngành: CN kỹ thuật công trình xây dựng,Tổ hợp môn:,NV1: 27.75
9,Mã ngành: 7510201,Tên ngành: CN kỹ thuật cơ khí,Tổ hợp môn:,NV1: 30.50
10,Mã ngành: 7510201C,Tên ngành: CN kỹ thuật cơ khí,Tổ hợp môn:,NV1: 29.00
11,Mã ngành: 7510202,Tên ngành: CN chế tạo máy,Tổ hợp môn:,NV1: 30.25
12,Mã ngành: 7510202C,Tên ngành: CN chế tạo máy,Tổ hợp môn:,NV1: 29.00
13,Mã ngành: 7510203,Tên ngành: CN kỹ thuật cơ điện tử,Tổ hợp môn:,NV1: 31.50
14,Mã ngành: 7510203C,Tên ngành: CN kỹ thuật cơ điện tử,Tổ hợp môn:,NV1: 29.75
15,Mã ngành: 7510205,Tên ngành: CN kỹ thuật ô tô,Tổ hợp môn:,NV1: 31.25
16,Mã ngành: 7510205C,Tên ngành: CN kỹ thuật ô tô,Tổ hợp môn:,NV1: 29.25
17,Mã ngành: 7510206,Tên ngành: CN kỹ thuật nhiệt,Tổ hợp môn:,NV1: 29.50
18,Mã ngành: 7510206C,Tên ngành: CN kỹ thuật nhiệt,Tổ hợp môn:,NV1: 27.75
19,Mã ngành: 7510301,"Tên ngành: CN kỹ thuật điện, điện tử",Tổ hợp môn:,NV1: 30.75
20,Mã ngành: 7510301C,"Tên ngành: CN kỹ thuật điện, điện tử",Tổ hợp môn:,NV1: 29.00
21,Mã ngành: 7510302,"Tên ngành: CN kỹ thuật điện tử, truyền thông",Tổ hợp môn:,NV1: 29.50
22,Mã ngành: 7510302C,"Tên ngành: CN kỹ thuật điện tử, truyền thông",Tổ hợp môn:,NV1: 28.25
23,Mã ngành: 7510303,Tên ngành: Công nghệ kỹ thuật điều khiển và tự động hóa,Tổ hợp môn:,NV1: 31.25
24,Mã ngành: 7510303C,Tên ngành: CN kỹ thuật điều khiển và tự động hóa,Tổ hợp môn:,NV1: 29.50
25,Mã ngành: 7510304,Tên ngành: CN kỹ thuật máy tính,Tổ hợp môn:,NV1: 29.25
26,Mã ngành: 7510304C,Tên ngành: CN kỹ thuật máy tính,Tổ hợp môn:,NV1: 28.00
27,Mã ngành: 7510401,Tên ngành: CN kỹ thuật hóa học,Tổ hợp môn:,NV1: 31.25
28,Mã ngành: 7510406,Tên ngành: Công nghệ kỹ thuật môi trường,Tổ hợp môn:,NV1: 29.75
29,Mã ngành: 7510406C,Tên ngành: CN kỹ thuật môi trường,Tổ hợp môn:,NV1: 27.75
30,Mã ngành: 7510501,Tên ngành: CN In,Tổ hợp môn:,NV1: 29.00
31,Mã ngành: 7510501C,Tên ngành: CN In,Tổ hợp môn:,NV1: 27.50
32,Mã ngành: 7510601,Tên ngành: Quản lý công nghiệp,Tổ hợp môn:,NV1: 29.75
33,Mã ngành: 7510601C,Tên ngành: Quản lý công nghiệp,Tổ hợp môn:,NV1: 28.00
34,Mã ngành: 7510603,Tên ngành: Kỹ thuật công nghiệp,Tổ hợp môn:,NV1: 29.25
35,Mã ngành: 7540101,Tên ngành: CN thực phẩm,Tổ hợp môn:,NV1: 31.25
36,Mã ngành: 7540101C,Tên ngành: CN thực phẩm,Tổ hợp môn:,NV1: 29.00
37,Mã ngành: 7540204,Tên ngành: CN may,Tổ hợp môn:,NV1: 29.50
38,Mã ngành: 7540204C,Tên ngành: CN may,Tổ hợp môn:,NV1: 27.00
39,Mã ngành: 7580205,Tên ngành: Kỹ thuật xây dựng công trình giao thông,Tổ hợp môn:,NV1: 28.25
40,Mã ngành: 7580205C,Tên ngành: Kỹ thuật xây dựng công trình giao thông,Tổ hợp môn:,NV1: 27.25
41,Mã ngành: 7810501,Tên ngành: Kinh tế gia đình,Tổ hợp môn:,NV1: 26.50
42,Mã ngành: C510202,Tên ngành: CN chế tạo máy,Tổ hợp môn:,NV1: 26.25
43,Mã ngành: C510301,"Tên ngành: CN kỹ thuật điện, điện tử",Tổ hợp môn:,NV1: 26.25
44,Mã ngành: C510302,"Tên ngành: CN kỹ thuật điện tử, truyền thông",Tổ hợp môn:,NV1: 25.75
