,0,1,2,3
0,Mã ngành: 101,Tên ngành: SP Toán học,Tổ hợp môn:,NV1: 19.00
1,Mã ngành: 102,Tên ngành: SP Vật lý,Tổ hợp môn:,NV1: 17.00
2,Mã ngành: 103,Tên ngành: SP Tin học,Tổ hợp môn:,NV1: 14.00
3,Mã ngành: 104,Tên ngành: Cử nhân Công nghệ thông tin,Tổ hợp môn:,NV1: 14.00
4,Mã ngành: 105,Tên ngành: Cử nhân Vật lý,Tổ hợp môn:,NV1: 13.50
5,Mã ngành: 106,Tên ngành: Cử nhân Hóa học,Tổ hợp môn:,NV1: 14.00
6,Mã ngành: 201,Tên ngành: SP Hóa học,Tổ hợp môn:,NV1: 19.00
7,Mã ngành: 301,Tên ngành: SP Sinh học,Tổ hợp môn:,NV1: 16.00
8,Mã ngành: 601,Tên ngành: SP Ngữ văn,Tổ hợp môn:,NV1: 16.50
9,Mã ngành: 602,Tên ngành: SP Lịch sử,Tổ hợp môn:,NV1: 15.00
10,Mã ngành: 603,Tên ngành: SP Địa lý.,Tổ hợp môn:,NV1: 16.50
11,Mã ngành: 603,Tên ngành: SP Địa lý,Tổ hợp môn:,NV1: 13.50
12,Mã ngành: 604,Tên ngành: SP Tâm lý - Giáo dục,Tổ hợp môn:,NV1: 15.00
13,Mã ngành: 605,Tên ngành: SP Giáo dục chính trị,Tổ hợp môn:,NV1: 14.00
14,Mã ngành: 606,Tên ngành: Cử nhân Ngữ văn,Tổ hợp môn:,NV1: 14.00
15,Mã ngành: 607,Tên ngành: Cử nhân Việt Nam học (chuyên ngành Văn hóa du lịch),Tổ hợp môn:,NV1: 14.00
16,Mã ngành: 608,Tên ngành: Cử nhân Quốc tế học,Tổ hợp môn:,NV1: 14.00
17,Mã ngành: 609,Tên ngành: Quản lý giáo dục,Tổ hợp môn:,NV1: 14.00
18,Mã ngành: 610,Tên ngành: SP Sử - Giáo dục quốc phòng,Tổ hợp môn:,NV1: 14.00
19,Mã ngành: 701,Tên ngành: SP Tiếng Anh,Tổ hợp môn:,NV1: 26.00
20,Mã ngành: 702,Tên ngành: SP Song ngữ Nga - Anh,Tổ hợp môn:,NV1: 18.00
21,Mã ngành: 703,Tên ngành: SP Tiếng Pháp,Tổ hợp môn:,NV1: 18.00
22,Mã ngành: 704,Tên ngành: SP Tiếng Trung,Tổ hợp môn:,NV1: 18.00
23,Mã ngành: 751,Tên ngành: Cử nhân Tiếng Anh,Tổ hợp môn:,NV1: 23.50
24,Mã ngành: 752,Tên ngành: Cử nhân song ngữ Nga - Anh,Tổ hợp môn:,NV1: 18.00
25,Mã ngành: 753,Tên ngành: Cử nhân Tiếng Pháp,Tổ hợp môn:,NV1: 18.00
26,Mã ngành: 754,Tên ngành: Cử nhân Tiếng Trung,Tổ hợp môn:,NV1: 18.00
27,Mã ngành: 755,Tên ngành: Cử nhân Tiếng Nhật,Tổ hợp môn:,NV1: 18.00
28,Mã ngành: 901,Tên ngành: SP Giáo dục tiểu học,Tổ hợp môn:,NV1: 15.50
29,Mã ngành: 902,Tên ngành: SP Giáo dục mầm non,Tổ hợp môn:,NV1: 16.00
30,Mã ngành: 903,Tên ngành: SP Giáo dục thể chất,Tổ hợp môn:,NV1: 20.00
31,Mã ngành: 904,Tên ngành: SP Giáo dục đặc biệt,Tổ hợp môn:,NV1: 14.00
32,,,,
33,,,,
